PROJECT,DATE,SITE,SAMPLE,SAMPLE_DESCRIPTOR,OM.AREA.g.m2,ASH.AREA.g.m2,PHICOCYANIN.MG.M2,TOTAL.MG.M2.RITCHIE
LTREB,6/22/2021,WS,1,EPIL,14.59139716,51.81816684,27.18115394,28.84298126
LTREB,6/22/2021,WS,3,EPIL,8.388884185,32.53250209,23.02237192,26.23687612
LTREB,6/22/2021,GC,1,EPIL,6.430503557,11.47201835,30.75324021,27.94277783
LTREB,6/22/2021,BG,1,EPIL,4.559811613,17.01160486,13.32429567,13.69942917
LTREB,6/22/2021,BG,2,EPIL,20.66530007,170.355731,16.80641334,40.98460408
LTREB,6/22/2021,BG,3,EPIL,19.17459242,97.74365406,28.89283707,32.1622669
LTREB,6/22/2021,BG,4,EPIL,0.800889988,69.196895,7.528365891,22.65372594
LTREB,6/22/2021,BN,1,EPIL,19.20732953,159.8880404,26.8470016,22.21648129
LTREB,6/22/2021,BN,5,EPIL,8.535031994,59.31847236,26.60369472,25.23200583
LTREB,6/22/2021,WS,2,EPIL,7.562272183,32.40973793,10.0601136,12.3674221
LTREB,6/22/2021,WS,4,EPIL,8.698717539,58.68126791,12.49739137,23.94146204
LTREB,6/22/2021,WS,5,EPIL,9.952081141,92.94532923,11.51153671,27.19645866
LTREB,6/22/2021,DL,1,EPIL,14.8953846,40.26664409,40.29119692,33.48955183
LTREB,6/22/2021,DL,2,EPIL,22.94520587,57.80145811,60.69518471,83.26463361
LTREB,6/22/2021,DL,3,EPIL,17.52019924,38.35503076,18.26730683,31.98596798
LTREB,6/22/2021,DL,4,EPIL,10.47587489,8.143355868,19.02026034,23.55515936
LTREB,6/22/2021,DL,5,EPIL,12.14546745,36.31246899,16.14851437,25.23490603
LTREB,6/22/2021,GR,1,EPIL,14.34762262,58.14812071,31.88202742,32.67379079
LTREB,6/22/2021,GR,2,EPIL,27.72833134,127.699278,60.44088752,44.43098613
LTREB,6/22/2021,GR,3,EPIL,3.283064361,9.454009411,6.958272521,6.956424582
LTREB,6/22/2021,GR,4,EPIL,2.185202027,5.720809801,4.998956547,6.266264217
LTREB,6/22/2021,GR,5,EPIL,23.21411784,95.42867278,48.55030185,84.8720154
LTREB,6/22/2021,GC,2,EPIL,10.04093901,33.05512665,32.08657589,44.85473035
LTREB,6/22/2021,GC,3,EPIL,9.143006875,25.43907207,28.32180836,33.28118665
LTREB,6/22/2021,GC,4,EPIL,7.313236318,18.41462382,28.89517544,20.9967913
LTREB,6/22/2021,GC,5,EPIL,6.734490998,18.47308295,27.97152129,20.68621627
LTREB,6/22/2021,BG,5,EPIL,3.633819101,14.04421977,9.821132705,7.542966782
LTREB,6/22/2021,BN,2,EPIL,6.229404173,28.78994902,21.87867763,12.51268301
LTREB,6/22/2021,BN,3,EPIL,6.383736258,62.2823499,14.75215975,17.79374613
LTREB,6/22/2021,BN,4,EPIL,3.472471921,17.99371813,16.87305674,14.34742953
LTREB,7/7/2021,WS,1,EPIL,8.231044553,24.36576257,5.66819659,24.17137289
LTREB,7/7/2021,WS,4,EPIL,7.810138865,20.67114598,11.57022967,20.91371767
LTREB,7/7/2021,BG,3,EPIL,33.19542854,216.0438742,25.680859,50.83018351
LTREB,7/7/2021,BN,2,EPIL,11.5749064,67.27475903,16.19083877,22.17055748
LTREB,7/7/2021,BN,3,EPIL,NA,NA,8.630144987,10.30477613
LTREB,7/7/2021,WS,2,EPIL,9.952665732,39.54759687,10.04035442,21.48436485
LTREB,7/7/2021,WS,3,EPIL,0.675319792,7.0997436,2.020627903,1.607077168
LTREB,7/7/2021,WS,5,EPIL,12.35825865,29.54524089,15.80383938,41.12057767
LTREB,7/7/2021,DL,1,EPIL,6.734490998,22.58860522,8.960614411,20.3956749
LTREB,7/7/2021,DL,2,EPIL,14.71708428,70.8641492,11.85141806,12.95151177
LTREB,7/7/2021,DL,3,EPIL,18.50114332,112.8167544,11.8497812,26.36893149
LTREB,7/7/2021,DL,4,EPIL,7.562272183,21.88475738,12.98762957,22.35581074
LTREB,7/7/2021,DL,5,EPIL,12.89842095,55.65308533,16.70247302,28.50801338
LTREB,7/7/2021,GR,1,EPIL,16.20486896,62.36419268,29.40610817,27.49619741
LTREB,7/7/2021,GR,2,EPIL,11.12594034,41.82867186,12.90426686,14.83009084
LTREB,7/7/2021,GR,3,EPIL,12.72070522,50.38591832,19.76678334,28.50341387
LTREB,7/7/2021,GR,4,EPIL,20.56241201,117.1403912,27.4852583,28.85071206
LTREB,7/7/2021,GR,5,EPIL,13.46664363,77.18241124,14.57011804,21.59269333
LTREB,7/7/2021,GC,1,EPIL,8.464881046,26.5638256,14.32950029,22.18348443
LTREB,7/7/2021,GC,2,EPIL,4.23127134,14.39731287,5.486914849,9.017903638
LTREB,7/7/2021,GC,3,EPIL,17.47810867,67.59745339,29.72435964,28.26283093
LTREB,7/7/2021,GC,4,EPIL,11.90695422,31.36682717,13.58636791,14.18822269
LTREB,7/7/2021,GC,5,EPIL,2.272890712,70.52274792,29.50969774,41.45681062
LTREB,7/7/2021,BG,1,EPIL,5.070159759,23.80397039,9.068997625,25.70304628
LTREB,7/7/2021,BG,2,EPIL,13.52510275,97.14503264,15.26484626,19.91928589
LTREB,7/7/2021,BG,4,EPIL,27.57809139,162.4403658,29.28685156,58.20299734
LTREB,7/7/2021,BG,5,EPIL,6.629264576,6.792950121,26.38610987,19.99966052
LTREB,7/7/2021,BN,1,EPIL,7.700235714,34.08868395,5.59175544,12.24561997
LTREB,7/7/2021,BN,4,EPIL,2.726533508,32.96626878,14.00446756,30.42566317
LTREB,7/7/2021,BN,5,EPIL,9.354628901,67.07833637,9.109100584,7.948350485
LTREB,7/20/2021,WS,1,EPIL,4.835738675,8.899816923,11.52346237,19.24425316
LTREB,7/20/2021,BN,2,EPIL,21.38142433,152.6858765,17.03761917,49.20864498
LTREB,7/20/2021,BG,2,EPIL,45.95120923,240.1126644,29.71243398,55.32434192
LTREB,7/20/2021,BG,3,EPIL,33.38951283,220.5364578,18.5426493,46.04761287
LTREB,7/20/2021,BG,4,EPIL,15.06140851,86.47098133,13.46278533,39.10527393
LTREB,7/20/2021,BG,5,EPIL,22.99197317,151.0583745,11.02392917,41.77178631
LTREB,7/20/2021,BN,1,EPIL,13.39883105,61.59253225,11.09787996,40.40640091
LTREB,7/20/2021,WS,2,EPIL,2.865666221,8.41928293,4.094126237,5.151816316
LTREB,7/20/2021,WS,3,EPIL,3.395305878,4.527074504,8.6786076,29.39828784
LTREB,7/20/2021,WS,4,EPIL,4.2406248,5.973353213,5.065950702,9.436951916
LTREB,7/20/2021,WS,5,EPIL,6.357429653,18.02002474,10.23765396,22.23499622
LTREB,7/20/2021,DL,1,EPIL,12.69264484,95.24861868,18.48500861,31.54534484
LTREB,7/20/2021,DL,2,EPIL,2.739394515,9.530006271,8.295349588,12.80183491
LTREB,7/20/2021,DL,3,EPIL,10.34901859,37.45534485,10.19801867,16.96227865
LTREB,7/20/2021,DL,4,EPIL,5.598045642,26.61293127,11.11167631,11.70946672
LTREB,7/20/2021,DL,5,EPIL,7.766879114,32.71664832,13.84206812,22.68818328
LTREB,7/20/2021,GR,1,EPIL,13.29945054,77.77518675,16.15085273,41.07245477
LTREB,7/20/2021,GR,2,EPIL,32.14959483,217.3948646,25.52588387,43.33761408
LTREB,7/20/2021,GR,3,EPIL,28.80865593,164.5273565,51.42532154,86.72086836
LTREB,7/20/2021,GR,4,EPIL,7.934072207,37.34485711,17.7103083,47.10944198
LTREB,7/20/2021,GR,5,EPIL,14.45109527,65.45083438,38.98989684,69.31863636
LTREB,7/20/2021,GC,1,EPIL,35.8050438,164.2093388,56.42381041,134.8790981
LTREB,7/20/2021,GC,2,EPIL,10.59746986,31.2779693,91.87903482,97.89996057
LTREB,7/20/2021,GC,3,EPIL,5.050868248,18.37019489,11.0295997,13.45971646
LTREB,7/20/2021,GC,4,EPIL,7.9878546,13.26554425,36.75839519,31.13433861
LTREB,7/20/2021,GC,5,EPIL,8.184277254,29.79076921,31.73862719,34.72346584
LTREB,7/20/2021,BG,1,EPIL,10.43846105,46.69247092,8.743614145,25.95416036
LTREB,7/20/2021,BN,3,EPIL,6.383736258,26.76258662,5.9008639,4.270580833
LTREB,7/20/2021,BN,4,EPIL,14.77378963,66.19794198,13.8835741,51.07942397
LTREB,7/20/2021,BN,5,EPIL,16.43870546,104.0525626,26.38190081,43.1014691
LTREB,8/3/2021,BN,1,EPIL,15.60332459,114.7687045,11.84112925,19.24414835
LTREB,8/3/2021,BN,3,EPIL,4.06524743,21.22592306,5.951255664,6.50604398
LTREB,8/3/2021,GR,1,EPIL,7.340127514,30.8114655,18.52101943,59.38681918
LTREB,8/3/2021,GC,5,EPIL,5.15609467,15.62612364,13.25852915,15.79532457
LTREB,8/3/2021,BG,3,EPIL,3.642003378,15.46828401,5.152002531,17.80241369
LTREB,8/3/2021,WS,1,EPIL,8.245074742,27.80198983,6.721746909,21.59590498
LTREB,8/3/2021,WS,2,EPIL,5.098804729,12.31733727,8.82265088,14.26994803
LTREB,8/3/2021,WS,3,EPIL,20.62437868,53.70931948,27.41323666,8.014694569
LTREB,8/3/2021,WS,4,EPIL,2.623645451,5.041514789,4.06819377,6.871878917
LTREB,8/3/2021,WS,5,EPIL,4.349358769,14.77846636,6.089102277,11.1042492
