,PROJECT,DATE,SITE,SAMPLE,SUBSTRATE,AVERAGE.DEPTH,EPIL.OM.AREA.g.m2,EPIL.ASH.AREA.g.m2,EPIL.CHL.TOTAL.MG.M2.RITCHIE,PHICOCYANIN.MG.M2
26,LTREB,6/22/2021,WS,1,EPIL,25.25,14.59139716,51.81816684,28.84298126,27.18115394
27,LTREB,6/22/2021,WS,3,EPIL,29.25,8.388884185,32.53250209,26.23687612,23.02237192
28,LTREB,6/22/2021,GC,1,EPIL,13.875,6.430503557,11.47201835,27.94277783,30.75324021
29,LTREB,6/22/2021,BG,1,EPIL,14.25,4.559811613,17.01160486,13.69942917,13.32429567
30,LTREB,6/22/2021,BG,2,EPIL,11.1875,20.66530007,170.355731,40.98460408,16.80641334
31,LTREB,6/22/2021,BG,3,EPIL,15.25,19.17459242,97.74365406,32.1622669,28.89283707
32,LTREB,6/22/2021,BG,4,EPIL,17.0625,0.800889988,69.196895,22.65372594,7.528365891
33,LTREB,6/22/2021,BN,1,EPIL,15,19.20732953,159.8880404,22.21648129,26.8470016
34,LTREB,6/22/2021,BN,5,EPIL,12.6875,8.535031994,59.31847236,25.23200583,26.60369472
254,LTREB,6/22/2021,WS,2,EPIL,32.75,7.562272183,32.40973793,12.3674221,10.0601136
255,LTREB,6/22/2021,WS,4,EPIL,32.625,8.698717539,58.68126791,23.94146204,12.49739137
256,LTREB,6/22/2021,WS,5,EPIL,14.5,9.952081141,92.94532923,27.19645866,11.51153671
257,LTREB,6/22/2021,DL,1,EPIL,14.625,14.8953846,40.26664409,33.48955183,40.29119692
258,LTREB,6/22/2021,DL,2,EPIL,17,22.94520587,57.80145811,83.26463361,60.69518471
259,LTREB,6/22/2021,DL,3,EPIL,24.375,17.52019924,38.35503076,31.98596798,18.26730683
260,LTREB,6/22/2021,DL,4,EPIL,16.75,10.47587489,8.143355868,23.55515936,19.02026034
261,LTREB,6/22/2021,DL,5,EPIL,17,12.14546745,36.31246899,25.23490603,16.14851437
262,LTREB,6/22/2021,GR,1,EPIL,22.25,14.34762262,58.14812071,32.67379079,31.88202742
263,LTREB,6/22/2021,GR,2,EPIL,33,27.72833134,127.699278,44.43098613,60.44088752
264,LTREB,6/22/2021,GR,3,EPIL,31.5,3.283064361,9.454009411,6.956424582,6.958272521
265,LTREB,6/22/2021,GR,4,EPIL,18.25,2.185202027,5.720809801,6.266264217,4.998956547
266,LTREB,6/22/2021,GR,5,EPIL,36.25,23.21411784,95.42867278,84.8720154,48.55030185
267,LTREB,6/22/2021,GC,2,EPIL,9.8125,10.04093901,33.05512665,44.85473035,32.08657589
268,LTREB,6/22/2021,GC,3,EPIL,14.8125,9.143006875,25.43907207,33.28118665,28.32180836
269,LTREB,6/22/2021,GC,4,EPIL,9,7.313236318,18.41462382,20.9967913,28.89517544
270,LTREB,6/22/2021,GC,5,EPIL,14.25,6.734490998,18.47308295,20.68621627,27.97152129
271,LTREB,6/22/2021,BG,5,EPIL,7,3.633819101,14.04421977,7.542966782,9.821132705
272,LTREB,6/22/2021,BN,2,EPIL,9.4375,6.229404173,28.78994902,12.51268301,21.87867763
273,LTREB,6/22/2021,BN,3,EPIL,13.5,6.383736258,62.2823499,17.79374613,14.75215975
274,LTREB,6/22/2021,BN,4,EPIL,12.875,3.472471921,17.99371813,14.34742953,16.87305674
35,LTREB,7/7/2021,WS,1,EPIL,30.75,8.231044553,24.36576257,24.17137289,5.66819659
36,LTREB,7/7/2021,WS,4,EPIL,33.25,7.810138865,20.67114598,20.91371767,11.57022967
37,LTREB,7/7/2021,BG,3,EPIL,7,33.19542854,216.0438742,50.83018351,25.680859
38,LTREB,7/7/2021,BN,2,EPIL,15.875,11.5749064,67.27475903,22.17055748,16.19083877
39,LTREB,7/7/2021,BN,3,EPIL,6.8125,NA,NA,10.30477613,8.630144987
275,LTREB,7/7/2021,WS,2,EPIL,27.75,9.952665732,39.54759687,21.48436485,10.04035442
276,LTREB,7/7/2021,WS,3,EPIL,37.125,0.675319792,7.0997436,1.607077168,2.020627903
277,LTREB,7/7/2021,WS,5,EPIL,36.75,12.35825865,29.54524089,41.12057767,15.80383938
