Sample ID,Date,Time,Remarks,Run,Al 396.2,Al_r 396.2,As 188.9,B 249.6,B_r 249.6,Ba 233.5,Be 313.1,Ca_r 317.9,Cd 228.8,Co 228.6,Cr 267.7,Cu 327.3,Fe 238.2,Fe_r 238.2,Fe_r 234.3,K_r 766.5,Li_r 670.8,Mg_r 285.2,Mn 257.6,Mn_r 260.5,Mo 202.0,Na_r 589.6,Ni 231.6,P 178.2,Pb 220.3,S 181.9,S_r 181.9,S 180.6,Sb 206.8,Se 196.0,Si 251.6,Si_r 251.6,Si_r 212.4,Sn 189.9,Sr_r 407.7,Ti 334.9,Tl 190.8,V 292.4,Zn 206.2,Zn_r 206.2
,,, ,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
Calib Blank 1,7/2/2021,15:13:06, ,1,[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00]
SedSTD_1,7/2/2021,15:16:34, ,2,,,[10],[1],[1],[1],,[10],[2],,,[2],,,,,,,[2],[2],,,,,,,,,[5],[5],,,,,,,,,,
SedSTD_2,7/2/2021,15:18:47, ,3,,,,,,,,,,,,,,,,[20],[5],,,,[10],[10],,,,,,,,,,,,,[1],[10],,,,
SedSTD_3,7/2/2021,15:21:06, ,4,,,,,,,,,,[2],,,,,,,,,,,,,,[10],,,,,,,,,,,,,,[2],,
SedSTD_4,7/2/2021,15:23:42, ,5,[10],[10],,,,,,,,,[5],,,,,,,,,,,,,,,,,,,,[10],[10],[10],[4],,,,,[5],[5]
SedSTD_5,7/2/2021,15:26:02, ,6,,,,,,,[1],,,,,,[10],[10],[10],,,[10],,,,,[2],,[10],,,,,,,,,,,,[5],,,
SedSTD_S,7/2/2021,15:28:19, ,7,,,,,,,,,,,,,,,,,,,,,,,,,,[40],[40],[40],,,,,,,,,,,,
200.7 CCV,7/2/2021,15:34:42, ,8,1.97,2.032,2.007,0.1763,0.1844,0.1877,0.2025,1.956,0.3973,0.3916,1.01,0.3917,2.054,2.033,2.03,3.987,1.03,2.019,0.3829,0.3884,2.017,2.057,0.4039,3.391,2.011,0.0173,-0.0323,0.08075,1.007,1.02,2.081,2.096,2.135,0.8052,0.1934,2.028,1.017,0.37,0.9934,0.9874
200.7 CV,7/2/2021,15:38:04, ,9,1.988,2.148,1.922,1.875,1.962,1.898,2.04,1.948,1.863,1.975,1.988,1.949,2.036,2.088,2.103,2.103,2.063,2.037,1.894,1.987,2.043,2.101,2.043,3.492,2.051,0.03227,-0.02577,0.04187,1.946,1.973,8.908,9.25,9.312,1.987,1.788,2.011,2.072,1.922,1.958,1.979
