Sample ID,Date,Time,Remarks,Run,Al 396.2,Al_r 396.2,As 188.9,B 249.6,B_r 249.6,Ba 233.5,Be 313.1,Ca_r 317.9,Cd 228.8,Co 228.6,Cr 267.7,Cu 327.3,Fe 238.2,Fe_r 238.2,Fe_r 234.3,K_r 766.5,Li_r 670.8,Mg_r 285.2,Mn 257.6,Mn_r 260.5,Mo 202.0,Na_r 589.6,Ni 231.6,P 178.2,Pb 220.3,S 181.9,S_r 181.9,S 180.6,Sb 206.8,Se 196.0,Si 251.6,Si_r 251.6,Si_r 212.4,Sn 189.9,Sr_r 407.7,Ti 334.9,Tl 190.8,V 292.4,Zn 206.2,Zn_r 206.2
,,, ,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
Calib Blank 1,7/19/2021,11:26:33, ,1,[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00]
SedSTD_1,7/19/2021,11:30:00, ,2,,,[10],[1],[1],[1],,[10],[2],,,[2],,,,,,,[2],[2],,,,,,,,,[5],[5],,,,,,,,,,
SedSTD_2,7/19/2021,11:32:11, ,3,,,,,,,,,,,,,,,,[20],[5],,,,[10],[10],,,,,,,,,,,,,[1],[10],,,,
SedSTD_3,7/19/2021,11:34:30, ,4,,,,,,,,,,[2],,,,,,,,,,,,,,[10],,,,,,,,,,,,,,[2],,
SedSTD_4,7/19/2021,11:36:34, ,5,[10],[10],,,,,,,,,[5],,,,,,,,,,,,,,,,,,,,[10],[10],[10],[4],,,,,[5],[5]
SedSTD_5,7/19/2021,11:38:53, ,6,,,,,,,[1],,,,,,[10],[10],[10],,,[10],,,,,[2],,[10],,,,,,,,,,,,[5],,,
SedSTD_S,7/19/2021,11:41:09, ,7,,,,,,,,,,,,,,,,,,,,,,,,,,[40],[40],[40],,,,,,,,,,,,
200.7 CCV,7/19/2021,11:55:25, ,8,2.041,2.083,2.04,0.2113,0.221,0.1938,0.2054,2.06,0.4047,0.3956,1.02,0.3994,2.052,2.086,2.08,4.3,1.072,2.078,0.3973,0.4098,2.079,2.142,0.4111,2.088,2.021,0.01937,0.03064,0.08678,1.015,1.028,2.118,2.169,2.211,0.8144,0.2099,2.106,1.016,0.3716,1.003,1.035
200.7 CV,7/19/2021,11:58:47, ,9,2.048,2.094,1.976,1.9,1.915,1.968,2.045,1.955,1.914,2.011,2.069,1.932,2.056,2.034,2.041,2.084,2.021,1.97,1.959,1.986,2.119,2.038,2.072,2.02,2.048,0.02518,-0.005137,0.04769,1.965,1.977,9.055,9.3,9.327,2.054,1.722,2.058,2.061,1.93,2.078,2.032
Sulfur IPC,7/19/2021,12:02:23, ,10,0.003,0.005,0.001,0.004866,0.006337,0.001676,0.001446,0.004473,0.001328,0.001545,0.001514,0.001819,0.001698,0.001995,0.002772,0.01688,0.003123,0.002627,0.000669,0.001402,0.002236,0.009161,0.001558,0.01077,0.002046,20.26,20.14,20.46,0.001533,0.000098,0.02988,0.03462,0.03958,0.002179,0.002418,0.001686,0.003436,0.001264,0.001665,0.002511
Lblank,7/19/2021,12:05:53, ,11,0,0,0.001,0.000652,-0.000054,0.000185,0.000113,-0.000062,0.000243,0.000185,0.000232,0.000147,0.000231,-0.000059,0.001133,0.005913,0.000352,0.000127,-0.000569,-0.00074,0.000521,0.005373,0.00018,-0.000085,0.000514,0.02106,0.02697,0.01738,-0.0001,-0.000508,0.005021,0.003125,0.008787,-0.000113,0.000169,0.000228,0.000767,0.000126,0.000059,0.000572
LFblank,7/19/2021,12:09:24, ,12,30.07,30.15,0.495,0.000409,-0.001079,0.001914,0.000106,29.65,0.09777,0.09266,0.1949,4.794,29.32,30.43,30.41,0.009061,0.000235,15.46,4.73,4.874,-0.001636,0.006759,0.1944,5.118,1.003,10.11,10.07,11.04,0.000626,0.09416,-0.00183,0.000009,0.006577,-0.02856,0.00232,-0.002174,-0.02016,0.4815,4.948,4.973
1,7/19/2021,12:12:52, ,13,25.82,27.81,0.047,27.81,31.45,34.43,0.000944,51.59,0.003442,0.01631,0.02796,0.4759,9.974,10.81,10.76,30.74,0.01347,5.158,3.796,4.123,0.001007,77.5,0.01965,1.179,0.06941,2.098,2.33,3.086,0.006726,-0.01216,3.932,4.421,4.499,-0.03196,0.5499,0.3864,-0.01994,0.01789,30.63,33.76
2,7/19/2021,12:16:22, ,14,25.35,27.22,0.058,26.73,30.03,33.01,0.000846,74.35,0.004021,0.01695,0.02776,0.5674,10.92,11.76,11.72,30.08,0.01409,5.482,4.976,5.399,0.00221,74.63,0.02001,1.112,0.06814,2.373,2.541,3.802,0.008022,-0.01674,3.99,4.49,4.569,-0.03571,0.573,0.4422,-0.02487,0.02044,29.66,32.27
3,7/19/2021,12:19:52, ,15,30,32.54,0.072,28.37,31.94,34.45,0.001098,98.56,0.004001,0.01784,0.03197,0.6691,15.34,16.92,16.88,32.44,0.01833,6.992,3.868,4.212,0.000366,78.76,0.02163,1.451,0.1351,3.04,3.35,4.898,0.005731,-0.01772,4.535,5.235,5.276,-0.03625,0.6225,0.6457,-0.02332,0.02816,30.77,34.3
4,7/19/2021,12:23:21, ,16,29.81,32.28,0.078,27.36,31.25,32.81,0.001096,135.9,0.005995,0.01965,0.03209,0.7316,15.43,17.14,17.07,32.67,0.01856,7.436,7.031,7.996,0.00194,77.05,0.02395,1.813,0.1002,3.381,3.719,5.856,0.00633,-0.01695,4.478,5.116,5.226,-0.03929,0.6748,0.6115,-0.03632,0.02886,29.42,33.77
5,7/19/2021,12:26:52, ,17,47.36,52.73,0.158,28.8,32.32,33.87,0.002135,235,0.009726,0.0259,0.04445,1.534,31.89,36.75,36.71,36.91,0.03515,13.63,8.689,9.936,0.002579,78.1,0.03257,3.141,0.1943,6.275,6.887,10.55,0.005497,-0.01188,6.982,7.873,8.01,-0.03963,0.9159,1.335,-0.05042,0.06025,30.28,34.9
6,7/19/2021,12:30:24, ,18,30.1,33.01,0.064,27.52,31.11,33.89,0.001434,75.42,0.003411,0.01939,0.03298,0.4707,13.39,14.77,14.71,31.88,0.02388,8.604,7.202,8.096,0.004236,76.43,0.0323,2.441,0.05345,3.257,3.597,4.704,0.007073,-0.01281,3.911,4.44,4.498,-0.03523,0.6186,0.5547,-0.03811,0.02237,29.62,33.78
7,7/19/2021,12:33:57, ,19,42.2,44.07,0.09,33.67,37.53,39.91,0.001752,95.47,0.004308,0.02446,0.03896,0.6129,16.17,17.83,17.76,36.6,0.02978,10.59,11.85,13.64,0.006494,88.01,0.04014,2.254,0.0671,3.655,3.898,5.404,0.007524,-0.009715,4.511,5.109,5.201,-0.03482,0.782,0.692,-0.06431,0.02668,35.31,40.15
8,7/19/2021,12:37:21, ,20,32.51,34.81,0.024,35.09,39.4,43.16,0.000565,32.5,0.000983,0.01637,0.03105,0.1422,3.944,4.281,4.281,35.83,0.01086,4.587,2.912,3.213,0.003055,92.66,0.02133,0.4788,0.01697,1.136,1.23,1.751,0.007063,-0.02008,2.898,3.263,3.342,-0.02617,0.6593,0.1792,-0.01606,0.00681,36.98,42.85
9,7/19/2021,12:40:51, ,21,30.71,32.75,0.059,28.45,31.73,35.07,0.001358,53.16,0.003047,0.01907,0.03388,0.4193,12.44,13.59,13.53,31.49,0.02224,8.186,7.048,7.727,0.005664,77.5,0.03173,2.251,0.0461,2.952,3.241,4.003,0.005529,-0.01293,3.842,4.305,4.408,-0.03017,0.5777,0.5352,-0.03767,0.02027,30.21,34.03
10,7/19/2021,12:44:19, ,22,35.25,37.95,0.035,35.83,40.88,43.82,0.000849,35.27,0.001827,0.01814,0.02825,0.2078,5.736,6.195,6.184,38.44,0.01358,5.245,5.742,6.407,0.004106,93.42,0.026,1.524,0.07021,1.93,2.107,2.615,0.007053,-0.01638,2.834,3.226,3.255,-0.02782,0.762,0.2136,-0.0326,0.009263,38.49,44.19
11,7/19/2021,12:47:49, ,23,35.21,37.81,0.034,36.13,40.43,43.91,0.000827,34.8,0.001938,0.01807,0.02824,0.2106,5.773,6.048,6.029,37.56,0.01355,5.146,5.773,6.263,0.004081,92.9,0.02583,1.497,0.07021,1.932,2.109,2.601,0.007715,-0.01683,2.997,3.302,3.434,-0.02775,0.7612,0.2138,-0.03086,0.009315,38.55,43.19
12,7/19/2021,12:51:22, ,24,72.55,81.27,0.581,27.75,31.28,32.88,0.002051,252.6,0.09428,0.1018,0.2155,6.1,52.4,63.52,63.75,36.33,0.03398,27.73,12.02,14.23,0.000534,75.5,0.1914,7.555,0.9592,14.55,16.45,19.55,0.007285,0.07634,7.671,8.802,8.857,-0.04115,0.8881,1.275,-0.06433,0.5012,32.87,38.22
