Sample ID,Date,Time,Remarks,Run,Ag 328.068,Ag 338.289,Al 396.153,Al_r 396.153,As 188.979,B 249.677,B_r 249.677,Ba 233.527,Be 313.107,Ca_r 317.933,Cd 288.802,Co 228.616,Cr 267.716,Cu 327.393,Fe 238.204,Fe_r 238.204,Fe_r 234.349,K_r 766.490,Li_r 670.784,Mg_r 285.213,Mn 257.610,Mn_r 260.568,Mo 202.031,Na_r 589.592,Na 330.237,Ni 231.604,P 177.434,P 178.221,P 213.617,Pb 220.353,S 180.669,S 181.975,S_r 181.975,Sb 206.836,Se 196.026,Si 251.611,Si_r 251.611,Si_r 212.412,Sn 189.927,Sr_r 407.771,Ti 334.940,Tl 190.801,V 292.402,Zn 206.200,Zn_r 206.200,Pd 340.4
,,, ,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
Lblank,11/17/2021,13:04:22, ,1,0,0,0,0,0,-0.001,-0.001,0,0,0,0,0,0,0,0.001,0.001,0.001,0.009,0,0,0,0,0,0,-0.02,0,-0.001,-0.002,0.002,0,0.002,0.003,0.005,-0.002,-0.001,0.004,0.004,0.003,0,0,0,0.002,0,0,0,
MQ,11/17/2021,13:07:00, ,2,0,0,0,-0.003,0.003,-0.001,-0.002,0,0,-0.002,0,0,0,0,0,0,0.001,0.009,0,0,0,0,0,0.001,-0.094,0,-0.012,-0.012,0.011,0,-0.006,0.001,0.003,-0.001,-0.004,0.001,0.002,0,0,0,0,0.002,0,0,0,
CCV,11/17/2021,13:11:41, ,3,0.097,0.079,1.925,1.893,2.017,0.202,0.196,0.198,0.206,1.937,0.339,0.379,0.986,0.387,2,1.955,1.953,4.038,1.025,1.961,0.392,0.387,2.054,2.056,10.72,0.389,2.009,2.05,3.542,1.958,0.029,0,0.001,1.041,0.999,2.016,2.013,1.983,0.783,0.192,2.078,0.997,0.386,0.953,0.95,
CV,11/17/2021,13:14:08, ,4,0.06,0.018,1.968,1.993,2.032,2.004,1.99,2.05,2.089,1.975,1.757,1.972,1.919,1.983,2.015,2.017,1.998,2.185,2.064,1.939,2.022,2.004,2.146,2.356,12.65,2.005,1.812,2.083,10.44,2.003,0.077,0.035,0.044,2.051,2.003,8.783,8.766,8.806,1.839,1.753,2.108,1.979,1.968,1.904,1.93,
Calib Blank 1,11/17/2021,13:36:20, ,5,[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],
SED Std 1,11/17/2021,13:38:53, ,6,[0.5],[0.5],,,[10],[1],[1],[1],,[10],[2],,,[2],,,,,,,[2],[2],,,,,,,,,,,,[5],[5],,,,,,,,,,,
SED Std 2,11/17/2021,13:43:35, ,7,,,,,,,,,,,,,,,,,,[20],[5],,,,[10],[10],[10],,,,,,,,,,,,,,,[1],[10],,,,,
SED Std 3,11/17/2021,13:45:31, ,8,,,,,,,,,,,,[2],,,,,,,,,,,,,,,[10],[10],[10],,,,,,,,,,,,,,[2],,,
SED Std 4,11/17/2021,13:47:19, ,9,,,[10],[10],,,,,,,,,[5],,,,,,,,,,,,,,,,,,,,,,,[10],[10],[10],[4],,,,,[5],[5],
