Sample ID,Date,Time,Initial Sample Vol,Diluted To Vol.,Remarks,Sample Type,Samp Number,Analyte Name,Int (Corr),Reported Conc (Calib),Reported Conc (Samp),Conc (Calib),Conc (Samp),RSD (Conc),Samp Units
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Al 396.2,-29.55964581,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Al_r 396.2,-11.25868866,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,As 188.9,-20.80593627,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,B 249.6,3848.994471,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,B_r 249.6,465.4489856,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Ba 233.5,-394.3289333,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Be 313.1,-8753.696144,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Ca_r 317.9,1.581666033,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Cd 228.8,98.00884996,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Co 228.6,-110.4047332,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Cr 267.7,8.256179493,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Cu 327.3,-4559.697092,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Fe 238.2,61.08500757,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Fe_r 238.2,15.70878302,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Fe_r 234.3,0.522513043,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,K_r 766.5,46.00998895,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Li_r 670.8,-257.3295035,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Mg_r 285.2,-64.36450786,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Mn 257.6,1361.291887,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Mn_r 260.5,58.2599516,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Mo 202.0,107.8615681,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Na_r 589.6,109.7297362,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Ni 231.6,-65.22658717,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,P 178.2,6.949145732,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Pb 220.3,-23.48911892,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,S 181.9,13.86526151,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,S_r 181.9,4.411235433,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,S 180.6,7.236764055,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Sb 206.8,64.47788317,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Se 196.0,-58.81826785,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Si 251.6,250.1015722,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Si_r 251.6,62.67346454,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Si_r 212.4,7.594552405,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Sn 189.9,13.60474531,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Sr_r 407.7,359.8629489,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Ti 334.9,230.8135309,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Tl 190.8,-53.43612745,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,V 292.4,64.32782244,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Zn 206.2,-19.22805041,[0.00], , , ,0,mg/L
Calib Blank 1,7/2/2021,15:13:06, , , ,101,0,Zn_r 206.2,2.237150542,[0.00], , , ,0,mg/L
SedSTD_1,7/2/2021,15:16:34, , , ,1,0,As 188.9,21952.89752,[10], , , ,0,mg/L
SedSTD_1,7/2/2021,15:16:34, , , ,1,0,B 249.6,131122.0874,[1], , , ,0,mg/L
SedSTD_1,7/2/2021,15:16:34, , , ,1,0,B_r 249.6,16895.8187,[1], , , ,0,mg/L
SedSTD_1,7/2/2021,15:16:34, , , ,1,0,Ba 233.5,135321.5091,[1], , , ,0,mg/L
SedSTD_1,7/2/2021,15:16:34, , , ,1,0,Ca_r 317.9,227905.5232,[10], , , ,0,mg/L
SedSTD_1,7/2/2021,15:16:34, , , ,1,0,Cd 228.8,119821.0404,[2], , , ,0,mg/L
SedSTD_1,7/2/2021,15:16:34, , , ,1,0,Cu 327.3,1035084.465,[2], , , ,0,mg/L
SedSTD_1,7/2/2021,15:16:34, , , ,1,0,Mn 257.6,1973710.716,[2], , , ,0,mg/L
SedSTD_1,7/2/2021,15:16:34, , , ,1,0,Mn_r 260.5,96155.85452,[2], , , ,0,mg/L
SedSTD_1,7/2/2021,15:16:34, , , ,1,0,Sb 206.8,29479.18631,[5], , , ,0,mg/L
SedSTD_1,7/2/2021,15:16:34, , , ,1,0,Se 196.0,19159.39408,[5], , , ,0,mg/L
