Sample ID,Date,Time,Initial Sample Vol,Diluted To Vol.,Remarks,Sample Type,Samp Number,Analyte Name,Int (Corr),Reported Conc (Calib),Reported Conc (Samp),Conc (Calib),Conc (Samp),RSD (Conc),Samp Units
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Al 396.2,1634.996882,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Al_r 396.2,73.59116394,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,As 188.9,-20.32103442,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,B 249.6,851.0962017,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,B_r 249.6,107.9095346,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Ba 233.5,-336.1057209,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Be 313.1,-3412.735175,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Ca_r 317.9,231.8339634,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Cd 228.8,71.79191896,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Co 228.6,-88.94886976,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Cr 267.7,-9.729699828,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Cu 327.3,-2128.268837,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Fe 238.2,91.65974463,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Fe_r 238.2,23.66403347,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Fe_r 234.3,11.1849621,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,K_r 766.5,70.88840521,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Li_r 670.8,-244.8897936,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Mg_r 285.2,80.65630515,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Mn 257.6,12199.88288,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Mn_r 260.5,706.9271273,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Mo 202.0,89.06228713,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Na_r 589.6,455.749384,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Ni 231.6,-52.30131735,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,P 178.2,9.234946629,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Pb 220.3,-20.63299204,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,S 181.9,24.37990395,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,S_r 181.9,4.883380615,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,S 180.6,4.384974674,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Sb 206.8,43.01983327,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Se 196.0,-53.8906866,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Si 251.6,226.1539606,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Si_r 251.6,61.74176034,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Si_r 212.4,2.19936982,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Sn 189.9,14.80973942,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Sr_r 407.7,520.5712571,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Ti 334.9,141.4876725,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Tl 190.8,-34.74834429,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,V 292.4,19.71466883,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Zn 206.2,21.27900244,[0.00], , , ,0,mg/L
Calib Blank 1,7/15/2021,11:42:34, , , ,101,0,Zn_r 206.2,1.219790875,[0.00], , , ,0,mg/L
SedSTD_1,7/15/2021,11:46:03, , , ,1,0,As 188.9,20081.07545,[10], , , ,0,mg/L
SedSTD_1,7/15/2021,11:46:03, , , ,1,0,B 249.6,127389.0744,[1], , , ,0,mg/L
SedSTD_1,7/15/2021,11:46:03, , , ,1,0,B_r 249.6,15424.56426,[1], , , ,0,mg/L
SedSTD_1,7/15/2021,11:46:03, , , ,1,0,Ba 233.5,142550.2032,[1], , , ,0,mg/L
SedSTD_1,7/15/2021,11:46:03, , , ,1,0,Ca_r 317.9,207087.6606,[10], , , ,0,mg/L
SedSTD_1,7/15/2021,11:46:03, , , ,1,0,Cd 228.8,114995.8346,[2], , , ,0,mg/L
SedSTD_1,7/15/2021,11:46:03, , , ,1,0,Cu 327.3,1044777.436,[2], , , ,0,mg/L
SedSTD_1,7/15/2021,11:46:03, , , ,1,0,Mn 257.6,2043029.712,[2], , , ,0,mg/L
SedSTD_1,7/15/2021,11:46:03, , , ,1,0,Mn_r 260.5,87841.32396,[2], , , ,0,mg/L
SedSTD_1,7/15/2021,11:46:03, , , ,1,0,Sb 206.8,27228.50935,[5], , , ,0,mg/L
SedSTD_1,7/15/2021,11:46:03, , , ,1,0,Se 196.0,16015.54239,[5], , , ,0,mg/L
SedSTD_2,7/15/2021,11:48:14, , , ,2,0,K_r 766.5,67464.33519,[20], , , ,0,mg/L
SedSTD_2,7/15/2021,11:48:14, , , ,2,0,Li_r 670.8,1390565.949,[5], , , ,0,mg/L
SedSTD_2,7/15/2021,11:48:14, , , ,2,0,Mo 202.0,272369.1564,[10], , , ,0,mg/L
SedSTD_2,7/15/2021,11:48:14, , , ,2,0,Na_r 589.6,202443.7908,[10], , , ,0,mg/L
SedSTD_2,7/15/2021,11:48:14, , , ,2,0,Sr_r 407.7,1507023.716,[1], , , ,0,mg/L
SedSTD_2,7/15/2021,11:48:14, , , ,2,0,Ti 334.9,9630963.105,[10], , , ,0,mg/L
SedSTD_3,7/15/2021,11:50:35, , , ,3,0,Co 228.6,83288.30212,[2], , , ,0,mg/L
SedSTD_3,7/15/2021,11:50:35, , , ,3,0,P 178.2,4626.906904,[10], , , ,0,mg/L
SedSTD_3,7/15/2021,11:50:35, , , ,3,0,V 292.4,803873.7137,[2], , , ,0,mg/L
SedSTD_4,7/15/2021,11:52:39, , , ,4,0,Al 396.2,1909280.741,[10], , , ,0,mg/L
SedSTD_4,7/15/2021,11:52:39, , , ,4,0,Al_r 396.2,87285.40626,[10], , , ,0,mg/L
SedSTD_4,7/15/2021,11:52:39, , , ,4,0,Cr 267.7,603377.605,[5], , , ,0,mg/L
SedSTD_4,7/15/2021,11:52:39, , , ,4,0,Si 251.6,399816.4257,[10], , , ,0,mg/L
SedSTD_4,7/15/2021,11:52:39, , , ,4,0,Si_r 251.6,38327.4499,[10], , , ,0,mg/L
SedSTD_4,7/15/2021,11:52:39, , , ,4,0,Si_r 212.4,12003.33999,[10], , , ,0,mg/L
SedSTD_4,7/15/2021,11:52:39, , , ,4,0,Sn 189.9,30142.28909,[4], , , ,0,mg/L
SedSTD_4,7/15/2021,11:52:39, , , ,4,0,Zn 206.2,251459.7857,[5], , , ,0,mg/L
SedSTD_4,7/15/2021,11:52:39, , , ,4,0,Zn_r 206.2,35213.47478,[5], , , ,0,mg/L
SedSTD_5,7/15/2021,11:54:58, , , ,5,0,Be 313.1,5048772.805,[1], , , ,0,mg/L
SedSTD_5,7/15/2021,11:54:58, , , ,5,0,Fe 238.2,849200.1084,[10], , , ,0,mg/L
SedSTD_5,7/15/2021,11:54:58, , , ,5,0,Fe_r 238.2,90437.24305,[10], , , ,0,mg/L
SedSTD_5,7/15/2021,11:54:58, , , ,5,0,Fe_r 234.3,74784.3186,[10], , , ,0,mg/L
SedSTD_5,7/15/2021,11:54:58, , , ,5,0,Mg_r 285.2,502996.0853,[10], , , ,0,mg/L
SedSTD_5,7/15/2021,11:54:58, , , ,5,0,Ni 231.6,137380.6308,[2], , , ,0,mg/L
SedSTD_5,7/15/2021,11:54:58, , , ,5,0,Pb 220.3,104420.9189,[10], , , ,0,mg/L
SedSTD_5,7/15/2021,11:54:58, , , ,5,0,Tl 190.8,18261.57519,[5], , , ,0,mg/L
SedSTD_S,7/15/2021,11:57:14, , , ,6,0,S 181.9,39003.45928,[40], , , ,0,mg/L
SedSTD_S,7/15/2021,11:57:14, , , ,6,0,S_r 181.9,4790.555266,[40], , , ,0,mg/L
SedSTD_S,7/15/2021,11:57:14, , , ,6,0,S 180.6,33055.10562,[40], , , ,0,mg/L
200.7 CCV,7/15/2021,12:02:17, , , ,0,1,Al 396.2,364708.2872,1.910,1.910,1.910186802,1.910186802,1.072294917,mg/L
200.7 CCV,7/15/2021,12:02:17, , , ,0,1,Al_r 396.2,17371.37039,1.990,1.990,1.99018039,1.99018039,0.6526452469,mg/L
200.7 CCV,7/15/2021,12:02:17, , , ,0,1,As 188.9,3846.22935,1.915,1.915,1.915350281,1.915350281,0.3247721632,mg/L
200.7 CCV,7/15/2021,12:02:17, , , ,0,1,B 249.6,23905.02125,0.1877,0.1877,0.1876536223,0.1876536223,0.610404588,mg/L
200.7 CCV,7/15/2021,12:02:17, , , ,0,1,B_r 249.6,2994.045475,0.1941,0.1941,0.1941089177,0.1941089177,0.9731222008,mg/L
