Sample ID,Date,Time,Initial Sample Vol,Diluted To Vol.,Remarks,Sample Type,Samp Number,Analyte Name,Int (Corr),Reported Conc (Calib),Reported Conc (Samp),Conc (Calib),Conc (Samp),RSD (Conc),Samp Units
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Ag 328.068,-194.2881065,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Ag 338.289,-178.8224103,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Al 396.153,164.0743476,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Al_r 396.153,-20.44713171,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,As 188.979,-9.505981108,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,B 249.677,1228.00336,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,B_r 249.677,137.1053693,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Ba 233.527,-184.6897128,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Be 313.107,-4724.952368,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Ca_r 317.933,94.62296322,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Cd 288.802,182.994534,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Co 228.616,-62.65136282,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Cr 267.716,-11.55035361,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Cu 327.393,-4973.964048,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Fe 238.204,-88.59662223,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Fe_r 238.204,12.57344315,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Fe_r 234.349,4.04401322,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,K_r 766.490,520.4289958,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Li_r 670.784,-160.7792937,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Mg_r 285.213,20.67661438,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Mn 257.610,1027.409749,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Mn_r 260.568,46.7124913,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Mo 202.031,-50.65613943,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Na_r 589.592,210.5587751,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Na 330.237,213.0723124,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Na 588.995,-319217.8856,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Ni 231.604,-353.7931786,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,P 177.434,-3.370864814,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,P 178.221,6.286925051,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,P 213.617,-772.6354288,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Pb 220.353,69.36596054,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,S 180.669,6.148080111,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,S 181.975,34.95679427,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,S_r 181.975,7.440683195,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Sb 206.836,37.76995762,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Se 196.026,54.02997995,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Si 251.611,422.0710346,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Si_r 251.611,71.31655565,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Si_r 212.412,12.89431563,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Sn 189.927,-36.87365489,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Sr_r 407.771,194.2248809,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Ti 334.940,-184.918558,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Tl 190.801,-17.65142761,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,V 292.402,33.39613257,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Zn 206.200,-2.679648666,[0.00], , , ,0,mg/L
Calib Blank 1,12/7/2021,12:25:18 AM, , , ,101,0,Zn_r 206.200,4.984881741,[0.00], , , ,0,mg/L
SED Std 1,12/7/2021,12:27:51 AM, , , ,1,0,Ag 328.068,268685.8601,[0.5], , , ,0,mg/L
SED Std 1,12/7/2021,12:27:51 AM, , , ,1,0,Ag 338.289,94635.49777,[0.5], , , ,0,mg/L
SED Std 1,12/7/2021,12:27:51 AM, , , ,1,0,As 188.979,27345.76211,[10], , , ,0,mg/L
SED Std 1,12/7/2021,12:27:51 AM, , , ,1,0,B 249.677,137676.1217,[1], , , ,0,mg/L
SED Std 1,12/7/2021,12:27:51 AM, , , ,1,0,B_r 249.677,14460.49401,[1], , , ,0,mg/L
SED Std 1,12/7/2021,12:27:51 AM, , , ,1,0,Ba 233.527,152843.0644,[1], , , ,0,mg/L
SED Std 1,12/7/2021,12:27:51 AM, , , ,1,0,Ca_r 317.933,176818.5852,[10], , , ,0,mg/L
SED Std 1,12/7/2021,12:27:51 AM, , , ,1,0,Cd 288.802,152536.5863,[2], , , ,0,mg/L
SED Std 1,12/7/2021,12:27:51 AM, , , ,1,0,Cu 327.393,1103731.333,[2], , , ,0,mg/L
SED Std 1,12/7/2021,12:27:51 AM, , , ,1,0,Mn 257.610,2114765.848,[2], , , ,0,mg/L
SED Std 1,12/7/2021,12:27:51 AM, , , ,1,0,Mn_r 260.568,81860.56616,[2], , , ,0,mg/L
SED Std 1,12/7/2021,12:27:51 AM, , , ,1,0,Sb 206.836,35148.28787,[5], , , ,0,mg/L
SED Std 1,12/7/2021,12:27:51 AM, , , ,1,0,Se 196.026,22655.90163,[5], , , ,0,mg/L
SED Std 2,12/7/2021,12:29:42 AM, , , ,2,0,K_r 766.490,135582.8842,[20], , , ,0,mg/L
SED Std 2,12/7/2021,12:29:42 AM, , , ,2,0,Li_r 670.784,1318418.82,[5], , , ,0,mg/L
SED Std 2,12/7/2021,12:29:42 AM, , , ,2,0,Mo 202.031,390789.7544,[10], , , ,0,mg/L
SED Std 2,12/7/2021,12:29:42 AM, , , ,2,0,Na_r 589.592,218227.3638,[10], , , ,0,mg/L
SED Std 2,12/7/2021,12:29:42 AM, , , ,2,0,Na 330.237,9004.585172,[10], , , ,0,mg/L
SED Std 2,12/7/2021,12:29:42 AM, , , ,2,0,Na 588.995,36118536.96,[10], , , ,0,mg/L
SED Std 2,12/7/2021,12:29:42 AM, , , ,2,0,Sr_r 407.771,3774932.453,[1], , , ,0,mg/L
SED Std 2,12/7/2021,12:29:42 AM, , , ,2,0,Ti 334.940,10508523.1,[10], , , ,0,mg/L
SED Std 3,12/7/2021,12:31:41 AM, , , ,3,0,Co 228.616,98653.98816,[2], , , ,0,mg/L
SED Std 3,12/7/2021,12:31:41 AM, , , ,3,0,P 177.434,4520.893575,[10], , , ,0,mg/L
SED Std 3,12/7/2021,12:31:41 AM, , , ,3,0,P 178.221,5071.942644,[10], , , ,0,mg/L
SED Std 3,12/7/2021,12:31:41 AM, , , ,3,0,P 213.617,60598.7821,[10], , , ,0,mg/L
SED Std 3,12/7/2021,12:31:41 AM, , , ,3,0,V 292.402,890574.47,[2], , , ,0,mg/L
SED Std 4,12/7/2021,12:33:29 AM, , , ,4,0,Al 396.153,2507077.954,[10], , , ,0,mg/L
SED Std 4,12/7/2021,12:33:29 AM, , , ,4,0,Al_r 396.153,81838.26064,[10], , , ,0,mg/L
SED Std 4,12/7/2021,12:33:29 AM, , , ,4,0,Cr 267.716,757250.7281,[5], , , ,0,mg/L
SED Std 4,12/7/2021,12:33:29 AM, , , ,4,0,Si 251.611,483169.5158,[10], , , ,0,mg/L
SED Std 4,12/7/2021,12:33:29 AM, , , ,4,0,Si_r 251.611,39215.38538,[10], , , ,0,mg/L
SED Std 4,12/7/2021,12:33:29 AM, , , ,4,0,Si_r 212.412,14329.08612,[10], , , ,0,mg/L
SED Std 4,12/7/2021,12:33:29 AM, , , ,4,0,Sn 189.927,47125.49154,[4], , , ,0,mg/L
SED Std 4,12/7/2021,12:33:29 AM, , , ,4,0,Zn 206.200,341590.548,[5], , , ,0,mg/L
