Sample ID,Date,Time,Remarks,Run,Al 396.2,Al_r 396.2,As 188.9,B 249.6,B_r 249.6,Ba 233.5,Be 313.1,Ca_r 317.9,Cd 228.8,Co 228.6,Cr 267.7,Cu 327.3,Fe 238.2,Fe_r 238.2,Fe_r 234.3,K_r 766.5,Li_r 670.8,Mg_r 285.2,Mn 257.6,Mn_r 260.5,Mo 202.0,Na_r 589.6,Ni 231.6,P 178.2,Pb 220.3,S 181.9,S_r 181.9,S 180.6,Sb 206.8,Se 196.0,Si 251.6,Si_r 251.6,Si_r 212.4,Sn 189.9,Sr_r 407.7,Ti 334.9,Tl 190.8,Zn 206.2,Zn_r 206.2
,,, ,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
Calib Blank 1,7/15/2021,11:42:34, ,1,[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00]
SedSTD_1,7/15/2021,11:46:03, ,2,,,[10],[1],[1],[1],,[10],[2],,,[2],,,,,,,[2],[2],,,,,,,,,[5],[5],,,,,,,,,
SedSTD_2,7/15/2021,11:48:14, ,3,,,,,,,,,,,,,,,,[20],[5],,,,[10],[10],,,,,,,,,,,,,[1],[10],,,
SedSTD_3,7/15/2021,11:50:35, ,4,,,,,,,,,,[2],,,,,,,,,,,,,,[10],,,,,,,,,,,,,,,
SedSTD_4,7/15/2021,11:52:39, ,5,[10],[10],,,,,,,,,[5],,,,,,,,,,,,,,,,,,,,[10],[10],[10],[4],,,,[5],[5]
SedSTD_5,7/15/2021,11:54:58, ,6,,,,,,,[1],,,,,,[10],[10],[10],,,[10],,,,,[2],,[10],,,,,,,,,,,,[5],,
SedSTD_S,7/15/2021,11:57:14, ,7,,,,,,,,,,,,,,,,,,,,,,,,,,[40],[40],[40],,,,,,,,,,,
200.7 CCV,7/15/2021,12:02:17, ,8,1.91,1.99,1.915,0.1877,0.1941,0.1806,0.2015,1.869,0.378,0.374,0.9732,0.3662,2.042,2.005,2.008,4.045,1.013,1.994,0.3597,0.3646,2.007,2.011,0.4005,1.961,1.98,0.009199,0.01352,0.07543,0.96,0.9727,2.035,2.021,2.047,0.7758,0.2043,2.029,0.9886,0.9465,0.9633
200.7 CV,7/15/2021,12:05:38, ,9,1.981,2.022,1.87,1.826,1.818,1.851,2.048,1.836,1.831,1.925,1.958,1.833,2.008,1.989,1.998,2.036,1.942,1.913,1.834,1.865,2.065,1.942,2.046,1.956,2.023,0.01614,0.001895,0.05078,1.89,1.894,8.873,8.778,8.778,1.956,1.782,2.008,2.01,1.934,1.928
