Sample ID,Date,Time,Remarks,Run,Al 396.153,Al_r 396.153,As 188.979,B 249.677,B_r 249.677,Ba 233.527,Be 313.107,Ca_r 317.933,Cd 288.802,Co 228.616,Cr 267.716,Cu 327.393,Fe 238.204,Fe_r 238.204,Fe_r 234.349,K_r 766.490,Li_r 670.784,Mg_r 285.213,Mn 257.610,Mn_r 260.568,Mo 202.031,Na_r 589.592,Ni 231.604,P 178.221,Pb 220.353,S 180.669,S 181.975,S_r 181.975,Sb 206.836,Se 196.026,Si 251.611,Si_r 251.611,Si_r 212.412,Sn 189.927,Sr_r 407.771,Ti 334.940,Tl 190.801,Zn 206.200,Zn_r 206.200
,,, ,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
Cal Blank,12/7/2021,0:48:41, ,1,0,0.003,-0.003,-0.001,-0.001,0,0,-0.003,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0.007,0,-0.01,0.001,0.002,0.007,-0.009,-0.001,-0.004,0.001,0.003,0,0,0,0,0,0,0
Lblank,12/7/2021,0:51:14, ,2,0,0.001,0.001,-0.001,-0.003,0,0,-0.003,0,0,0,0,0,-0.001,0,0.004,0,0,-0.001,-0.001,0,0.005,0,-0.011,0.001,0.003,-0.012,-0.005,0,0,0.001,0.002,-0.002,0,0,0,-0.002,0,0
CV,12/7/2021,0:53:47, ,3,1.95,2.018,2.005,2.009,2.056,2.049,2.042,1.996,1.77,2.013,1.908,2.005,2.014,2.009,1.998,2.164,2.082,1.939,2.019,2.046,2.102,2.374,1.997,1.986,1.99,0.07,0.036,0.057,2.083,1.991,8.636,8.881,8.834,1.851,1.695,2.042,1.984,1.949,1.936
CCV,12/7/2021,0:56:20, ,4,1.918,1.943,2.042,0.209,0.214,0.204,0.205,2.011,0.347,0.391,0.985,0.394,2.012,1.99,1.997,4.064,1,1.989,0.399,0.41,2.022,2.1,0.393,1.97,1.979,0.022,-0.013,-0.03,1.044,1.016,2.029,2.106,2.086,0.79,0.192,2.043,1.003,0.989,0.98
S IPC,12/7/2021,0:58:51, ,5,0.001,0.003,-0.001,0,-0.001,0,0,-0.003,0,0.001,0.001,0.001,0.001,0.001,0.003,0.015,0.001,0.001,0,0,0.001,0.007,-0.002,-0.012,-0.009,25.89,25.93,26.05,0.001,-0.001,0.007,0.009,0.004,0,0,0.001,0,0,0
LFB,12/7/2021,1:01:27, ,6,27.77,29.81,0.505,0.026,0.015,-0.003,-0.03,30.6,0.086,0.09,0.177,4.879,27.75,29.59,29.66,0.019,0.001,14.9,4.804,5.031,0.002,0.006,0.178,4.939,0.965,14.43,14.07,13.89,0,0.101,0.003,0.005,-0.007,-0.001,0,0,-0.007,4.593,4.666
1,12/7/2021,1:03:55, ,7,0.021,0.032,-0.002,0.001,0.001,0,0,0.042,0.001,0,0,0.01,0.021,0.03,0.031,0.017,-0.001,0.016,0.003,0.004,0,0.012,-0.002,0.01,0.003,0.01,0.023,-0.001,0.002,0.002,0.021,0.024,0.022,-0.003,0,0,-0.005,0.003,0.004
2,12/7/2021,1:06:30, ,8,32.8,38.55,-0.046,38.02,44.05,46.73,-0.017,17.45,-0.001,0.039,0.02,0.003,0.428,0.46,0.461,34.91,0.012,2.564,0.017,0.019,0,95.42,0.008,0.007,0.004,0.126,0.133,0.073,0.002,-0.006,3.935,4.468,4.532,-0.002,0.755,0.009,-0.004,37.02,42.96
3,12/7/2021,1:09:03, ,9,32.75,40.66,-0.004,29.27,33.97,33.9,-0.439,448.8,0.004,0.039,0.029,0.616,15.7,17.86,17.75,33.94,0.035,10.13,9.436,10.97,0.006,77.76,0.016,2.955,0.087,7.276,7.38,8.237,0.005,0.003,5.895,6.679,6.798,0.022,1.198,0.683,-0.019,27.13,31.59
4,12/7/2021,1:11:38, ,10,7.767,9.035,0.086,0.422,0.511,0.375,-0.242,247.3,0.003,0.005,0.013,0.421,12.3,13.75,13.72,131.2,0.02,10.71,7.383,8.456,0.009,4.396,-0.003,10.46,0.02,80.22,80.92,95.09,0.005,0.01,4.299,5.056,5.017,0.01,0.415,0.441,-0.014,0.634,0.7
5,12/7/2021,1:13:55, ,11,14.27,16.87,0.094,0.146,0.158,0.568,-0.26,268.1,0.004,0.015,0.023,1.08,32.02,36.78,36.92,31.85,0.029,11.21,8.596,9.691,0.007,1.71,0.016,5.419,0.458,21.94,22.14,26.18,0.005,0.004,4.419,5.096,5.052,0.014,0.438,0.934,-0.017,1.335,1.47
6,12/7/2021,1:16:26, ,12,16.59,19.26,0.103,0.224,0.244,0.495,-0.175,182,0.003,0.013,0.034,0.563,28.89,32.87,32.96,48.32,0.028,13.25,6.317,7.015,0.007,1.899,0.012,9.404,0.077,38.83,38.88,46.02,0,0.005,4.312,4.872,4.838,0.007,0.325,1.197,-0.011,0.916,1.002
7,12/7/2021,1:18:42, ,13,24.36,29.93,0.448,0.049,0.039,-0.001,-0.03,30.16,0.075,0.083,0.171,4.736,26.6,29.31,29.37,0.076,0,14.71,4.623,5.029,0.001,0.022,0.16,4.134,0.834,11.04,10.91,12.95,0.001,0.087,0.009,0.014,0.001,-0.002,0.001,0.001,-0.009,4.016,4.377
8,12/7/2021,1:21:09, ,14,64.39,83.42,0.049,26.45,30.55,31.41,-0.592,611,0.009,0.05,0.06,1.418,46.73,57.62,58,38.69,0.082,27.41,5.802,6.591,0.008,73.48,0.039,5.155,0.223,12.61,13,15,0,0.003,7.622,8.858,8.838,0.033,1.581,2.108,-0.017,26.31,30.5
9,12/7/2021,1:23:49, ,15,68.68,91.32,0.062,23.42,27.33,27.55,-0.573,593.3,0.009,0.05,0.066,1.508,53.75,69.03,69.76,38.06,0.094,31.78,7.08,8.275,0.007,66.53,0.043,5.559,0.248,11.47,11.84,13.54,-0.003,-0.002,7.725,9.012,8.992,0.033,1.481,2.459,-0.016,23.13,27.2
10,12/7/2021,1:26:29, ,16,51.91,66.57,0.011,23.46,27.12,27.36,-0.896,917.8,0.007,0.04,0.045,0.953,35.56,43.47,43.51,34.87,0.079,26.26,6.347,7.382,0.009,66.03,0.028,5.078,0.167,11.77,13.37,15.22,0.005,0.01,7.064,8.302,8.285,0.051,1.972,1.654,-0.022,22.15,25.95
10 dup,12/7/2021,1:29:08, ,17,51.97,66.38,0.006,23.3,26.98,27.14,-0.897,919.5,0.007,0.04,0.044,0.958,35.22,43.21,43.3,34.9,0.079,26.15,6.29,7.332,0.009,65.76,0.028,4.96,0.163,12.58,13.27,15.27,0.004,0.004,8.136,9.43,9.407,0.05,1.998,1.646,-0.021,21.9,25.78
1 spike,12/7/2021,1:31:50, ,18,24.45,30.13,0.447,0.109,0.127,0.028,-0.032,31.84,0.076,0.084,0.175,4.893,26.68,29.88,29.88,0.098,0.001,14.91,4.697,5.105,0.002,0.113,0.163,4.274,0.843,11.39,11.18,13.12,0,0.088,0.035,0.045,0.033,-0.001,0.003,0.002,-0.009,4.153,4.537
Lblank,12/7/2021,1:34:16, ,19,0.024,0.028,-0.003,0.059,0.059,0.008,0,0.169,0,0,0,0.003,0.022,0.025,0.028,0.032,0,0.011,0.003,0.003,0,0.03,0,-0.001,0.001,0.015,0.01,0.021,-0.001,-0.005,0.004,0.006,0,0,0,0,-0.002,0.013,0.013
CV,12/7/2021,1:36:50, ,20,1.905,1.985,2.026,2.043,2.08,2.051,2.041,2.055,1.776,2.01,1.905,1.99,2.017,2.006,1.995,2.187,2.017,1.923,2.025,2.034,2.098,2.369,1.995,2.026,1.991,0.085,0.051,0.079,2.081,2.003,8.666,8.83,8.916,1.846,1.722,2.038,1.959,1.957,1.974
S IPC,12/7/2021,1:39:24, ,21,0.005,0.008,0,0.034,0.037,0.003,0.001,0.029,0.001,0.001,0.001,0.001,0.005,0.005,0.006,0.026,0.002,0.003,0.001,0.001,0.002,0.022,-0.001,-0.024,-0.008,26,26.1,26.43,0.002,-0.001,0.013,0.016,0.015,0.002,0.001,0.001,0.001,0.004,0.005
11,12/7/2021,1:41:59, ,22,47.63,59.12,-0.005,25.66,29.67,29.65,-0.796,815.2,0.006,0.04,0.039,0.78,28.47,34,33.95,35,0.067,21.89,6.286,7.264,0.009,70.39,0.025,4.458,0.137,11.94,12.35,14.07,0.005,0.005,6.955,8.154,8.144,0.044,1.815,1.348,-0.019,23.6,27.71
