"SampleID","Date","Al","Alr","As","B","Br","Ba","Be","Car","Cd","Co","Cr","Cu","Fe","Fer","Fer.1","Kr","Lir","Mgr","Mn","Mnr","Mo","Nar","Ni","P","Pb","S","Sr","S.1","Sb","Se","Si","Sir","Sir.1","Sn","Srr","Ti","Tl","Zn","Znr","SAMPLING_DATE","SITE","SAMPLE_DESCRIPTOR","FIELD.REP","DIGEST_DATE","OES_DATE","ICP_NUMBER","LAB.DUPLICATE","LAB.SPIKE","ICP.DUPLICATE","ICP.SPIKE","DRY_MASS"
"26","7/2/2021",43.86,45.2,0.099,0.4562,0.4868,1.866,0.002564,121.7,0.008435,0.02324,0.04565,1.177,41.86,47.06,47.26,10.33,0.04066,16.8,3.711,3.975,-0.000094,15.22,0.03737,8.11,0.1981,3.952,4.016,7.447,-0.000688,-0.01251,2.11,2.262,2.29,-0.04249,0.3089,1.574,-0.02689,3.16,3.247,"22-Jun-21","BN","EPIL",1,"30-Jun-21","7/2/2021","26",NA,NA,NA,NA,0.1462
"27","7/2/2021",15.39,14.93,0.018,17.04,17.16,19.67,0.000285,96.79,0.00234,0.01184,0.01325,0.1357,5.159,5.392,5.421,15.81,0.00768,3.689,1.413,1.5,-0.001279,40.23,0.01209,2.85,0.02728,1.789,1.692,4.438,0.000771,-0.007633,1.428,1.472,1.489,-0.04034,0.4104,0.1953,-0.004985,16.92,17.78,"22-Jun-21","BN","EPIL",2,"30-Jun-21","7/2/2021","27",NA,NA,NA,NA,0.0599
"28","7/2/2021",69.53,71.31,0.155,0.5047,0.5351,1.969,0.003936,168.3,0.01326,0.03655,0.06852,1.728,62.97,72.83,73.61,13.74,0.06348,26.35,5.034,5.41,0.000112,13.9,0.05741,15.16,0.303,6.856,6.866,12.19,-0.001405,-0.009508,3.147,3.308,3.357,-0.04466,0.436,2.455,-0.04202,4.06,4.183,"22-Jun-21","BN","EPIL",3,"30-Jun-21","7/2/2021","28",NA,NA,NA,NA,0.3023
"29","7/2/2021",13.03,13.29,0.025,0.7402,0.7807,1.543,0.000682,69.09,0.004189,0.008037,0.01619,0.3459,12.92,13.57,13.54,5.93,0.01204,5.077,1.495,1.57,0.00053,14.42,0.01379,4.191,0.06727,2.259,2.301,4.289,0.000498,-0.01066,1.704,1.798,1.809,-0.03887,0.153,0.4547,-0.009364,2.001,2.039,"22-Jun-21","BN","EPIL",4,"30-Jun-21","7/2/2021","29",NA,NA,NA,NA,0.0516
"30","7/2/2021",23.97,24.45,0.051,0.4106,0.4318,1.135,0.001353,96.97,0.005337,0.01317,0.02531,0.5699,24.09,25.62,25.67,6.716,0.02214,9.441,2.114,2.232,0.000117,11.44,0.02195,6.511,0.1057,2.944,2.891,5.917,-0.000575,-0.01029,1.298,1.36,1.367,-0.04117,0.2128,0.8249,-0.01647,2.02,2.056,"22-Jun-21","BN","EPIL",5,"30-Jun-21","7/2/2021","30",NA,NA,NA,NA,0.1197
"50","7/2/2021",160.1,174.1,0.413,0.6599,0.684,2.535,0.009992,186.2,0.02953,0.1156,0.1732,4.267,133.9,199.4,206.9,208.1,0.1839,78.4,17.59,20.92,0.00465,6.35,0.1759,54.55,0.7269,119.2,134.4,140.6,-0.00445,-0.007213,2.429,2.575,2.627,-0.04142,0.8531,5.701,-0.1272,9.314,9.775,"22-Jun-21","BN","FILA ",1,"30-Jun-21","7/2/2021","50","YES",NA,NA,NA,1.2297
"49","7/2/2021",52.54,51.41,0.146,0.801,0.8275,0.8659,0.002937,113.9,0.01398,0.03768,0.06247,1.228,59.33,69.33,69.87,286.7,0.06361,30.37,8.567,9.646,0.01071,6.256,0.05604,45.23,0.2291,181.2,199.5,206.4,-0.001874,-0.00439,1.117,1.179,1.197,-0.03803,0.4976,2.357,-0.06063,3.434,3.592,"22-Jun-21","BN","FILA ",2,"30-Jun-21","7/2/2021","49","YES",NA,NA,NA,0.5804
"1","7/14/2021",30.27,31.1,0.087,0.776,0.8298,1.834,0.001803,226.4,0.009865,0.01643,0.04314,0.8906,30.71,34.41,34.57,10.89,0.03007,13.36,2.947,3.141,0.001045,18.54,0.03103,3.772,0.1481,5.823,6.187,10.37,0.000341,-0.01154,8.531,9.154,9.335,-0.04126,0.5038,1.247,-0.02242,2.765,2.856,"22-Jun-21","BG","EPIL",1,"30-Jun-21","7/14/2021","1",NA,NA,NA,NA,0.1265
"2","7/14/2021",NA,181.3,0.447,0.6343,0.6807,3.223,0.01018,332.8,0.03526,0.07361,0.1498,4.895,117.6,171.8,177.6,35.21,0.1682,61.39,12.11,14.12,-0.00026,19.11,0.121,10.81,0.7686,18.59,20.05,25.53,-0.002395,0.00135,18.79,20.38,20.73,-0.04198,0.9629,5.382,-0.09089,7.526,8.274,"22-Jun-21","BG","EPIL",2,"30-Jun-21","7/14/2021","2",NA,NA,NA,NA,0.4754
"3","7/14/2021",28.38,30.23,0.074,0.716,0.7625,1.934,0.001674,109.7,0.006628,0.01477,0.03467,0.7249,29.26,32.24,32.38,10.27,0.02791,11.29,2.916,3.086,0.000845,18.64,0.02551,3.12,0.1345,3.576,3.792,5.986,0.00164,-0.009903,7.081,7.534,7.55,-0.03713,0.2724,1.194,-0.02436,2.574,2.658,"22-Jun-21","BG","EPIL",3,"30-Jun-21","7/14/2021","3",NA,NA,NA,NA,0.0989
"4","7/14/2021",22.2,22.7,0.059,0.7438,0.7749,1.653,0.001274,46.22,0.005099,0.0112,0.02628,0.6477,21.99,23.58,23.6,8.519,0.02095,8.051,3.036,3.192,0.001338,18.82,0.02018,1.811,0.1159,2.687,2.834,3.816,0.000695,-0.00928,8.099,8.49,8.479,-0.03228,0.1458,0.7925,-0.02167,2.493,2.522,"22-Jun-21","BG","EPIL",4,"30-Jun-21","7/14/2021","4",NA,NA,NA,NA,0.0559
"5","7/14/2021",14.36,14.87,0.039,0.6569,0.6947,1.46,0.000781,100.4,0.005079,0.009646,0.02027,0.4184,14.7,15.73,15.71,7.739,0.01386,6.103,3.408,3.567,0.000991,17.97,0.01556,2.013,0.08767,3.158,3.331,5.402,0.001997,-0.0124,6.283,6.552,6.56,-0.03583,0.2241,0.5818,-0.0234,2.055,2.079,"22-Jun-21","BG","EPIL",5,"30-Jun-21","7/14/2021","5",NA,NA,NA,NA,0.0565
"7","7/14/2021",60.58,64.49,0.16,38.12,41.05,42.11,0.002859,95.33,0.007713,0.03939,0.06371,1.13,29.99,34.06,34.2,41.85,0.05027,17.84,15.68,18.19,0.008532,99.49,0.06089,4.204,0.1299,5.099,5.402,7.116,0.006198,-0.01003,10.25,10.86,11.04,-0.03287,0.8106,1.44,-0.09697,36.95,42.53,"22-Jun-21","WS","EPIL",1,"30-Jun-21","7/14/2021","7",NA,NA,NA,NA,0.0141
"8","7/14/2021",51.83,55.11,0.112,43.73,47.23,46.64,0.001397,136.6,0.005012,0.03045,0.0501,0.4668,15.67,17.44,17.48,44.68,0.0281,10.96,14.12,16.3,0.008455,113.1,0.04622,2.89,0.05744,3.517,3.711,6.177,0.00694,-0.008239,9.896,10.56,10.64,-0.03585,0.9257,0.6536,-0.08437,41.16,47.48,"22-Jun-21","WS","EPIL",2,"30-Jun-21","7/14/2021","8",NA,NA,NA,NA,0.1035
"9","7/14/2021",58.45,61.82,0.137,40.45,43.13,43.06,0.002515,97.45,0.004855,0.03383,0.05746,0.9324,26.03,29.7,29.81,42.67,0.05204,17.88,10.74,12.12,0.004231,104.4,0.05178,2.836,0.1128,4.51,4.672,6.608,0.00264,-0.01034,10.37,10.99,11.15,-0.03387,0.832,1.273,-0.06804,37.44,43.21,"22-Jun-21","WS","EPIL",3,"30-Jun-21","7/14/2021","9",NA,NA,NA,NA,0.0575
"10","7/14/2021",43.77,47.41,0.191,0.4624,0.5518,1.333,0.004071,145.6,0.007682,0.02709,0.06021,1.5,44.13,47.13,50.41,11.2,0.07346,39.4,11.83,13.2,0.01258,15.76,0.06073,4.327,0.1997,6.474,6.711,9.808,0.000157,-0.008915,8.182,8.584,8.797,-0.03714,0.2592,2.229,-0.07973,1.75,1.843,"22-Jun-21","WS","EPIL",4,"30-Jun-21","7/14/2021","10",NA,NA,NA,NA,0.09
"14","7/14/2021",36.52,39.78,0.196,0.8318,0.8805,2.158,0.002246,623.1,0.01846,0.02655,0.0455,1.598,38.64,44.35,44.67,12.81,0.03853,17.7,14.32,16.65,0.007018,20.01,0.03863,7.004,0.2238,12.85,13.88,25.09,0.000935,-0.003516,8.437,9.046,9.125,-0.04788,1.073,1.657,-0.08833,3.528,3.716,"22-Jun-21","GR","EPIL",1,"30-Jun-21","7/14/2021","14",NA,NA,NA,NA,0.2035
"15","7/14/2021",9.926,10.22,0.039,0.6161,0.6514,1.345,0.00054,59.35,0.003766,0.00698,0.01853,0.4416,12.36,12.98,12.97,6.313,0.009837,4.119,2.964,3.059,0.003098,17.29,0.01177,2.403,0.06947,2.856,3.147,4.269,0.001437,-0.01127,5.564,5.763,5.784,-0.03361,0.132,0.4981,-0.02042,1.921,1.891,"22-Jun-21","GR","EPIL",2,"30-Jun-21","7/14/2021","15",NA,NA,NA,NA,0.2281
