"SampleID","Date","Al","Alr","As","B","Br","Ba","Be","Car","Cd","Co","Cr","Cu","Fe","Fer","Fer.1","Kr","Lir","Mgr","Mn","Mnr","Mo","Nar","Ni","P","Pb","S","Sr","S.1","Sb","Se","Si","Sir","Sir.1","Sn","Srr","Ti","Tl","Zn","Znr","SAMPLING_DATE","SITE","SAMPLE_DESCRIPTOR","FIELD.REP","DIGEST_DATE","OES_DATE","ICP_NUMBER","LAB.DUPLICATE","LAB.SPIKE","ICP.DUPLICATE","ICP.SPIKE","DRY_MASS"
"CCV","7/2/2021",1.97,2.032,2.007,0.1763,0.1844,0.1877,0.2025,1.956,0.3973,0.3916,1.01,0.3917,2.054,2.033,2.03,3.987,1.03,2.019,0.3829,0.3884,2.017,2.057,0.4039,3.391,2.011,0.0173,-0.0323,0.08075,1.007,1.02,2.081,2.096,2.135,0.8052,0.1934,2.028,1.017,0.9934,0.9874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV","7/2/2021",1.988,2.148,1.922,1.875,1.962,1.898,2.04,1.948,1.863,1.975,1.988,1.949,2.036,2.088,2.103,2.103,2.063,2.037,1.894,1.987,2.043,2.101,2.043,3.492,2.051,0.03227,-0.02577,0.04187,1.946,1.973,8.908,9.25,9.312,1.987,1.788,2.011,2.072,1.958,1.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","7/2/2021",0.031,0.038,-0.001,-0.01245,-0.008957,0.002268,0.002246,0.007722,0.001749,0.002226,0.00226,0.00233,0.003419,0.005056,0.00513,0.004671,0.003824,0.003639,0.00107,0.002133,0.003744,0.05942,0.002205,-0.1576,0.002431,21.45,21.34,22.94,0.001073,-0.000706,0.1837,0.1776,0.1761,0.001732,0.002884,0.002898,0.004337,0.002609,0.003284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","7/2/2021",0,0,-0.003,-0.01757,-0.01526,0.000324,0.000301,-0.000682,0.000254,0.00056,0.000342,0.000094,0.000405,0.000782,0.000912,0.003181,0.00063,0.000328,-0.000541,-0.000345,0.00073,0.002189,0.000533,0.05255,-0.000056,0.03507,0.03862,0.02693,-0.001664,-0.001029,0.01045,0.01126,0.01083,0.001292,0.00035,0.000378,-0.000236,0.000268,-0.000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LFB","7/2/2021",28.42,29.27,0.475,-0.01751,-0.01677,0.001727,0.000043,27.98,0.09473,0.09021,0.1845,4.644,28.31,29.69,29.73,-0.002045,0.000231,15.14,4.436,4.619,-0.002076,0.000694,0.1887,10.34,0.9995,11.04,10.57,13.16,-0.000096,0.09165,0.003055,0.003005,0.004728,-0.03131,0.002251,-0.002233,-0.01882,4.615,4.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","7/2/2021",NA,347.1,0.284,0.04597,0.03599,0.9905,0.02985,114.9,0.004016,0.1651,0.4421,0.4415,180.4,340.2,363.4,23.18,0.5269,127.2,6.331,7.051,0.08568,7.503,0.4482,44.58,0.5933,4.977,4.092,8.979,-0.01408,-0.009291,2.229,2.421,2.504,-0.0417,1.209,12.17,-0.09649,1.836,1.947,"22-Jun-21","SRM","STSD2",1,"30-Jun-21","7/2/2021","54",NA,NA,NA,NA,0.5357
"57","7/2/2021",25.5,27.31,0.408,-0.01309,-0.0104,0.001661,-0.000035,25.83,0.08249,0.08047,0.1717,4.439,26.43,27.78,27.85,0.06245,0.000505,14.01,4.073,4.259,-0.000579,0.01285,0.1684,14.63,0.8759,9.826,10.98,12.8,0.004086,0.06323,-0.000202,0.002329,0.005741,-0.0289,0.003615,0.009253,-0.02354,4.046,4.14,"22-Jun-21","MFB","METHOD FORTIFIED BLANK",1,"30-Jun-21","7/2/2021","57",NA,"YES",NA,NA,NA
"60","7/2/2021",0.051,0.081,-0.007,-0.01638,-0.01369,-0.000515,-0.000058,0.06601,0.00042,-0.000373,0.000374,0.004993,0.06544,0.09051,0.0922,0.03474,-0.000176,0.03717,0.005059,0.007124,0.001371,0.003923,-0.000223,0.3762,0.000467,0.05111,0.03338,0.03964,0.002169,-0.0033,0.001549,0.000317,0.000229,0.001395,0.000168,0.002007,-0.002948,0.004143,0.007005,"22-Jun-21","BLANK","DIGEST BLANK",1,"30-Jun-21","7/2/2021","60",NA,NA,NA,NA,NA
"26 SPIKE","7/2/2021",68.85,72.86,0.525,0.479,0.5092,1.822,0.002411,143.3,0.09488,0.1028,0.2128,5.922,60.66,70.94,71.79,10.58,0.04146,30.94,7.469,8.167,-0.001438,15.92,0.2034,27.47,1.097,15.59,16.78,22.76,0.000515,0.07004,1.326,1.416,1.427,-0.04216,0.2973,1.506,-0.04786,6.901,7.128,"22-Jun-21","BN","LABORATORY FORTIFIED SAMPLE",1,"30-Jun-21","7/2/2021","26 SPIKE",NA,NA,NA,"YES",NA
"CV","7/2/2021",1.969,2.165,1.918,1.844,1.895,1.858,1.996,2.039,1.861,1.952,1.972,1.913,2.027,2.099,2.112,2.065,2.071,2.008,1.857,1.921,2.019,2.066,2.022,7.689,2.022,0.06605,0.001691,0.09983,1.922,1.975,8.831,8.96,9.031,1.966,1.67,1.963,2.032,1.966,1.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","7/2/2021",0.054,0.071,-0.002,-0.01227,-0.008114,0.001615,0.000874,0.04494,0.000866,0.001042,0.000967,0.001659,0.03719,0.04523,0.04681,0.02146,0.002394,0.01761,0.001753,0.003159,0.001927,0.06425,0.00109,-0.09193,0.001297,24.33,24.99,29.72,0.000002,0.003657,0.1345,0.1259,0.1261,0.002176,0.001855,0.00246,0.004127,0.003361,0.004675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","7/2/2021",0.012,0.014,-0.003,-0.01935,-0.01711,0.000549,0.000122,0.022,0.000048,0.00037,0.000258,0.000505,0.01531,0.01656,0.01793,0.01325,0.000313,0.00629,0.000373,0.000693,0.000236,0.005638,0.000168,-0.08133,0.000595,0.03874,0.04917,0.04648,-0.001862,0.000281,0.007957,0.00857,0.009504,0.000564,0.000205,0.000652,0.000284,0.001355,0.00177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCV","7/14/2021",2.055,2.053,1.995,0.1895,0.191,0.1903,0.2053,1.94,0.3978,0.395,0.9966,0.3858,2.059,2.051,2.045,4.107,1.021,2.066,0.3886,0.3852,2.076,2.093,0.4115,2.082,2.017,-0.00823,-0.002633,0.05757,0.9979,0.9997,2.082,2.071,2.117,0.8006,0.1988,2.093,1.026,1.011,0.9862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV","7/14/2021",2.02,2.023,1.904,1.871,1.864,1.881,2.038,1.872,1.851,1.965,1.93,1.86,2.036,2.048,2.068,1.996,1.994,1.991,1.87,1.885,2.094,1.986,2.052,2.041,2.059,0.01352,-0.01104,0.04196,1.908,1.918,8.778,8.81,8.827,1.977,1.706,2.029,2.087,1.999,1.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
