,PROJECT,SAMPLING_DATE,SITE,FIELD.REP,SAMPLE_DESCRIPTOR,OM.AREA.g.m2,ASH.AREA.g.m2,PHICOCYANIN.MG.M2,TOTAL.MG.M2.RITCHIE,Al,Alr,As,B,Br,Ba,Be,Car,Cd,Co,Cr,Cu,Fe,Fer,Fer.1,Kr,Lir,Mgr,Mn,Mnr,Mo,Nar,Ni,P,Pb,S,Sr,S.1,Sb,Se,Si,Sir,Sir.1,Sn,Srr,Ti,Tl,Zn,Znr,Al.1,Alr.1,As.1,B.1,Br.1,Ba.1,Be.1,Car.1,Cd.1,Co.1,Cr.1,Cu.1,Fe.1,Fer.2,Fer.1.1,Kr.1,Lir.1,Mgr.1,Mn.1,Mnr.1,Mo.1,Nar.1,Ni.1,P.1,Pb.1,S.2,Sr.1,S.1.1,Sb.1,Se.1,Si.1,Sir.2,Sir.1.1,Sn.1,Srr.1,Ti.1,Tl.1,Zn.1,Znr.1
1,LTREB,6/22/2021,WS,1,EPIL,14.59139716,51.81816684,27.18115394,28.84298126,214.822695,228.6879433,0.567375887,135.177305,145.5673759,149.3262411,0.010138298,338.0496454,0.027351064,0.139680851,0.225921986,4.007092199,106.3475177,120.7801418,121.2765957,148.4042553,0.178262411,63.26241135,55.60283688,64.5035461,0.030255319,352.8014184,0.215921986,14.90780142,0.460638298,18.08156028,19.15602837,25.23404255,0.021978723,0.023094119,36.34751773,38.5106383,39.14893617,0.007459369,2.874468085,5.106382979,0.005503096,131.0283688,150.8156028,3134.563262,3336.876606,8.278806899,1972.425744,2124.031395,2178.878491,0.147931931,4932.616636,0.399090235,2.038138774,3.296517422,58.46907373,1551.758868,1762.351019,1769.594975,2165.42543,2.601097643,923.0869693,811.3230761,941.1968594,0.441467378,5147.865615,3.150603451,217.5256513,6.721356351,263.8352274,279.5132179,368.1999368,0.320700282,0.33697546,530.361067,561.9240183,571.2376761,0.108842616,41.94250545,74.50926209,0.080297857,1911.886968,2200.610359
2,LTREB,6/22/2021,WS,3,EPIL,8.388884185,32.53250209,23.02237192,26.23687612,50.82608696,53.75652174,0.119130435,35.17391304,37.50434783,37.44347826,0.002186957,84.73913043,0.004221739,0.029417391,0.049965217,0.810782609,22.63478261,25.82608696,25.92173913,37.10434783,0.045252174,15.54782609,9.339130435,10.53913043,0.00367913,90.7826087,0.045026087,2.466086957,0.098086957,3.92173913,4.062608696,5.746086957,0.001744648,0.00566308,9.017391304,9.556521739,9.695652174,0.001829167,0.723478261,1.106956522,0.001349455,32.55652174,37.57391304,426.3741571,450.9572351,0.99937142,295.0698829,314.6196303,314.1090026,0.018346125,710.8667512,0.035415681,0.246779089,0.419152422,6.801561404,189.8805699,216.6520524,217.4544674,311.2640767,0.379615246,130.4289124,78.34488361,88.41154463,0.030863799,761.5647904,0.377718629,20.68771787,0.822840118,32.89901537,34.08075384,48.203258,0.014635654,0.047506919,75.6458513,80.16855408,81.33570319,0.01534467,6.069175341,9.286130059,0.01132042,273.1128903,315.2032049
3,LTREB,6/22/2021,GC,1,EPIL,6.430503557,11.47201835,30.75324021,27.94277783,7.395143488,7.952538631,0.022075055,0.433057395,0.461865342,0.844922737,0.000319654,127.9801325,0.003831126,0.006379691,0.013228477,0.210154525,8.333333333,8.962472406,8.973509934,4.278145695,0.007693157,3.677704194,2.790286976,2.971854305,0.000478523,9.757174393,0.010033113,2.401214128,0.054630243,3.198675497,3.527041943,5.921633554,0.001107255,0.003594118,3.383554084,3.537527594,3.624172185,0.001160895,0.220971302,0.356401766,0.000856442,1.130242826,1.173289183,47.5544965,51.13882796,0.141953721,2.78477712,2.970026726,5.433278668,0.002055536,822.9766969,0.024636068,0.041024625,0.085065767,1.351399423,53.58752964,57.63321069,57.70418755,27.51063111,0.049470872,23.6494899,17.94295032,19.11051968,0.003077147,62.74354464,0.064517966,15.44101599,0.351299971,20.56909416,22.68065576,38.07908563,0.007120206,0.023111987,21.75795657,22.74808378,23.30525213,0.007465141,1.420956746,2.291842824,0.005507354,7.26803051,7.544840266
4,LTREB,6/22/2021,GC,1,EPIL,6.430503557,11.47201835,30.75324021,27.94277783,20.96054889,23.18181818,0.054888508,15.8619211,17.1483705,17.56003431,0.000649657,166.4236707,0.007075472,0.013237564,0.021543739,0.319511149,9.313893654,10.54030875,10.56603774,18.04030875,0.011063465,4.991423671,1.331903945,1.477272727,0.00037182,42.30703259,0.017174099,1.927958834,0.040904803,3.448542024,3.740137221,6.518010292,0.003026587,0.002792685,4.095197256,4.502572899,4.588336192,0.000902033,0.550171527,0.355531732,0.000665469,15.04288165,17.57718696,134.7868842,149.0707643,0.352960744,102.00014,110.2726575,112.9198631,0.004177621,1070.188006,0.045498846,0.085124204,0.138537092,2.054617582,59.89302627,67.77949289,67.94494324,116.0082696,0.07114365,32.09736767,8.564813057,9.499607527,0.002390991,272.0555236,0.110438108,12.39774614,0.26303848,22.17586175,24.05096571,41.91408836,0.019462476,0.017958371,26.33418052,28.95381104,29.5053122,0.005800529,3.537879959,2.28624807,0.004279299,96.73330394,113.0301633
5,LTREB,6/22/2021,BG,1,EPIL,4.559811613,17.01160486,13.32429567,13.69942917,11.96442688,12.29249012,0.034387352,0.306719368,0.32798419,0.724901186,0.000712648,89.48616601,0.003899209,0.006494071,0.017051383,0.35201581,12.13833992,13.60079051,13.66403162,4.304347826,0.011885375,5.280632411,1.164822134,1.241501976,0.000342721,7.328063241,0.012264822,1.490909091,0.058537549,2.301581028,2.445454545,4.098814229,0.000793022,0.002574127,3.371936759,3.618181818,3.68972332,0.00083144,0.199130435,0.492885375,0.000613389,1.092885375,1.128853755,54.55553262,56.0514392,0.156799846,1.398582534,1.495546117,3.305412845,0.003249542,408.040059,0.017779661,0.029611741,0.077751096,1.60512578,55.34854333,62.01704253,62.30541006,19.6270152,0.054195073,24.07868899,5.311369495,5.661015129,0.001562744,33.41458787,0.055925278,6.798264587,0.266920198,10.4947759,11.15081204,18.68982072,0.003616031,0.011737535,15.37539639,16.49822747,16.82444324,0.003791208,0.907997269,2.247464459,0.002796936,4.983351427,5.147360461
6,LTREB,6/22/2021,BG,1,EPIL,4.559811613,17.01160486,13.32429567,13.69942917,25.51618548,27.68591426,0.040682415,16.36920385,17.89588801,18.16272966,0.000867892,102.2747157,0.003744969,0.012882765,0.026172353,0.383595801,11.96412948,14.00262467,14.0376203,19.3175853,0.014938758,6.299212598,1.151793526,1.302274716,0.000379302,43.47331584,0.016023622,1.505686789,0.056649169,2.313648294,2.516622922,4.23928259,0.002358268,0.002848881,4.07567804,4.553805774,4.628171479,0.000920185,0.491688539,0.533245844,0.00067886,15.36745407,18.68766404,116.3489989,126.2425534,0.185504147,74.64048581,81.60187799,82.81862562,0.003957422,466.3534362,0.017076355,0.05874298,0.119341001,1.749124586,54.55417656,63.84933059,64.00890405,88.08454979,0.068117921,28.72322276,5.251961495,5.938127372,0.001729546,198.2301304,0.073064698,6.865648107,0.258309538,10.54980036,11.47532643,19.33032998,0.010753257,0.01299036,18.58432406,20.76449645,21.10359005,0.004195869,2.24200711,2.431500593,0.003095472,70.07269552,85.21222752
7,LTREB,6/22/2021,BG,2,EPIL,20.66530007,170.355731,16.80641334,40.98460408,NA,19.06815313,0.047013042,0.066712242,0.071592343,0.338977703,0.001070677,35.00210349,0.003708456,0.007741902,0.015755154,0.514829617,12.36853176,18.06899453,18.67900715,3.703197308,0.017690366,6.456668069,1.273664283,1.485065208,9.12E-05,2.009886411,0.012726125,1.136937316,0.08083719,1.955195625,2.108750526,2.685107278,0.000211017,0.000684954,1.976230543,2.143458141,2.180269247,0.000221239,0.101272613,0.566049642,0.000163218,0.791543963,0.870214556,NA,394.0491063,0.971538613,1.378628506,1.479477257,7.005075949,0.022125868,723.3289717,0.076636357,0.159988719,0.325584976,10.63910852,255.5994203,373.4011939,386.0072878,76.52768358,0.365576722,133.4289831,26.32065459,30.68931815,0.001884578,41.5349058,0.262989199,23.49515079,1.670524783,40.40470428,43.57796239,55.48854762,0.004360721,0.014154777,40.83939717,44.29520566,45.05591822,0.004571974,2.092828927,11.69758571,0.003372941,16.35749351,17.98324493
8,LTREB,6/22/2021,BG,3,EPIL,19.17459242,97.74365406,28.89283707,32.1622669,14.34782609,15.28311426,0.037411527,0.3619818,0.385490394,0.977755308,0.000846309,55.46006067,0.003350859,0.007467139,0.017527806,0.366481294,14.79271992,16.29929221,16.37007078,5.192113246,0.014110212,5.707785642,1.47421638,1.56016178,0.000438364,9.423660263,0.012896866,1.577350859,0.067997978,1.807886754,1.917087968,3.026289181,0.00101433,0.003292488,3.579878665,3.808897877,3.816986855,0.001063469,0.137714863,0.60364004,0.000784567,1.301314459,1.343781598,275.1137173,293.0474868,0.717350778,6.940853475,7.391621193,18.74805952,0.016227638,1063.424059,0.064251364,0.143179338,0.336088533,7.027129447,283.6443752,312.5322849,313.8894351,99.55665528,0.27055757,109.4444633,28.26749823,29.91546623,0.008405457,180.6948446,0.24729214,30.24505983,1.303833509,34.66549166,36.75938041,58.02786159,0.019449374,0.063132118,68.64271432,73.03406435,73.18916722,0.020391588,2.640626378,11.57455174,0.015043748,24.95217436,25.76646443
9,LTREB,6/22/2021,BG,4,EPIL,0.800889988,69.196895,7.528365891,22.65372594,19.8568873,20.30411449,0.052772809,0.66529517,0.693112701,1.478533095,0.001139535,41.34168157,0.004560823,0.010017889,0.023506261,0.579338104,19.66905188,21.09123435,21.10912343,7.619856887,0.018738819,7.201252236,2.715563506,2.85509839,0.000775568,16.83363148,0.018050089,1.619856887,0.103667263,2.403398927,2.534883721,3.413237925,0.001794585,0.005825171,7.244186047,7.59391771,7.584078712,0.001881522,0.130411449,0.708855098,0.00138808,2.229874776,2.255813953,15.90318223,16.26136201,0.042265214,0.532828241,0.555107023,1.184142353,0.000912642,33.11013886,0.003652717,0.008023227,0.018825929,0.463986087,15.75274672,16.89175842,16.90608561,6.102667091,0.015007733,5.767410817,2.174867624,2.286619715,0.000621144,13.48188692,0.014456136,1.297327163,0.083026073,1.924858138,2.030162993,2.733628081,0.001437265,0.004665321,5.801796076,6.081892664,6.074012709,0.001506892,0.104445224,0.567714951,0.001111699,1.785884383,1.80665881
10,LTREB,6/22/2021,BN,1,EPIL,19.20732953,159.8880404,26.8470016,22.21648129,15,15.45827633,0.033857729,0.156019152,0.166484268,0.638166895,0.000876881,41.62106703,0.002884747,0.007948016,0.015612175,0.40253078,14.31600547,16.09439124,16.1627907,3.532831737,0.013905609,5.745554036,1.269151847,1.359439124,0.000296541,5.205198358,0.012780438,2.773597811,0.067749658,1.351573187,1.373461012,2.546853625,0.000686165,0.002227271,0.721614227,0.773597811,0.783173735,0.000719406,0.105642955,0.538303694,0.000530736,1.080711354,1.110465116,288.109943,296.9122075,0.650316561,2.996711263,3.197718199,12.25748184,0.016842542,799.4295499,0.055408285,0.15266017,0.299868192,7.731541333,274.9722347,309.1302762,310.4440471,67.85626335,0.26708961,110.3567497,24.37701774,26.11119524,0.005695752,99.97796014,0.24547808,53.27340714,1.301290007,25.96011159,26.38051826,48.91825684,0.013179392,0.042779935,13.86028225,14.85874808,15.042676,0.013817861,2.029119046,10.33937643,0.010194028,20.75757911,21.32906942
