NA,PROJECT,SAMPLING_DATE,SITE,FIELD.REP,SAMPLE_DESCRIPTOR,OM.AREA.g.m2,ASH.AREA.g.m2,PHICOCYANIN.MG.M2,TOTAL.MG.M2.RITCHIE,Al,Alr,As,B,Br,Ba,Be,Car,Cd,Co,Cr,Cu,Fe,Fer,Fer.1,Kr,Lir,Mgr,Mn,Mnr,Mo,r,Ni,P,Pb,S,Sr,S.1,Sb,Se,Si,Sir,Sir.1,Sn,Srr,Ti,Tl,Zn,Znr,Al.1,Alr.1,As.1,B.1,Br.1,Ba.1,Be.1,Car.1,Cd.1,Co.1,Cr.1,Cu.1,Fe.1,Fer.2,Fer.1.1,Kr.1,Lir.1,Mgr.1,Mn.1,Mnr.1,Mo.1,r.1,Ni.1,P.1,Pb.1,S.2,Sr.1,S.1.1,Sb.1,Se.1,Si.1,Sir.2,Sir.1.1,Sn.1,Srr.1,Ti.1,Tl.1,Zn.1,Znr.1
217,LTREB,6/22/2021,BN,4,EPIP,-0.212791209,30.64193404,1.276092509,0.940810006,25.13879004,27.22064057,0.039501779,12.50533808,13.32384342,14.4341637,0.001006406,23.17081851,0.002359431,0.012708185,0.024523132,0.361209964,15.51957295,16.70818505,17.77580071,15.06049822,0.017281139,6.903914591,1.399288256,1.485053381,0.000308571,32.70106762,0.016708185,1.396085409,0.06455516,1.174377224,1.300355872,1.76227758,0.001657295,0.00231763,5.085409253,5.516014235,5.565836299,0.000748591,0.262775801,0.707829181,0.000552268,12.93594306,14.20284698,-5.349313525,-5.792313017,-0.008405631,-2.661026009,-2.83519675,-3.071463145,-0.000214154,-4.930546484,-0.000502066,-0.00270419,-0.005218307,-0.076862305,-3.302428691,-3.555354897,-3.782534124,-3.204741624,-0.003677274,-1.469092333,-0.29775624,-0.316006304,-6.56612E-05,-6.958499714,-0.003555355,-0.297074702,-0.013736771,-0.249897149,-0.276704298,-0.374997177,-0.000352658,-0.000493171,-1.082130383,-1.173759338,-1.184361035,-0.000159294,-0.05591638,-0.150619827,-0.000117518,-2.752654963,-3.02224098
7,LTREB,6/22/2021,BG,2,EPIL,20.66530007,170.355731,16.80641334,40.98460408,,19.06815313,0.047013042,0.066712242,0.071592343,0.338977703,0.001070677,35.00210349,0.003708456,0.007741902,0.015755154,0.514829617,12.36853176,18.06899453,18.67900715,3.703197308,0.017690366,6.456668069,1.273664283,1.485065208,9.12E-05,2.009886411,0.012726125,1.136937316,0.08083719,1.955195625,2.108750526,2.685107278,0.000211017,0.000684954,1.976230543,2.143458141,2.180269247,0.000221239,0.101272613,0.566049642,0.000163218,0.791543963,0.870214556,,394.0491062,0.97153862,1.378628499,1.479477251,7.00507595,0.022125861,723.3289717,0.076636356,0.159988728,0.325584985,10.63910852,255.5994202,373.4011939,386.0072878,76.52768359,0.365576722,133.4289831,26.3206546,30.68931815,0.001884578,41.53490579,0.262989192,23.4951508,1.670524788,40.40470429,43.57796239,55.48854762,0.00436073,0.01415478,40.83939718,44.29520567,45.05591822,0.00457197,2.092828937,11.69758571,0.003372949,16.35749351,17.98324493
37,LTREB,7/7/2021,BN,3,EPIL,,,8.630144987,10.30477613,12.90733198,14.9694501,0.031568228,3.044806517,3.397403259,3.597250509,0.000850942,57.26832994,0.003117363,0.007828411,0.013556517,0.344322811,10.4098778,13.49287169,13.64562118,6.014511202,0.01279277,5.417515275,2.113034623,2.576374745,0.000110372,8.975305499,0.011130346,1.13938391,0.055868126,1.776985743,1.989562118,2.769857434,0.00053195,0.000828989,1.02864053,1.185845214,1.194246436,0.000267762,0.181135438,0.433808554,0.00019754,3.697810591,4.192973523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,DRONE,9/9/2021,GC,2,EPIL,12.36761211,41.32124667,55.4337467,59.24726154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,DRONE,9/9/2021,GC,7,EPIL,18.87762008,59.3757623,60.94082994,60.80668106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,DRONE,9/9/2021,GC,8,EPIL,15.00528775,58.71634339,36.0561842,50.95378183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,DRONE,9/9/2021,GC,9,EPIL,5.745362632,10.54368747,8.65592546,11.88926339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,DRONE,9/9/2021,GC,10,EPIL,6.049934665,21.47495892,7.070572497,13.38992784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,DRONE,9/9/2021,GC,11,EPIL,15.74654944,51.8146593,54.65542193,58.67105483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,DRONE,9/9/2021,GC,12,EPIL,17.28519356,68.35508363,38.93751746,56.73671572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
